title_year,imdb_score,color,num_critic_for_reviews,duration,director_facebook_likes,Director_Credits,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,actor_2_facebook_likes,movie_facebook_likes,budget,Movie_Rating
2012,8.5,Color,813,164,22000,23000,27000,106759,0,2701,English,USA,23000,164000,2.50E+08,4.48E+08
2012,6.6,Color,462,132,475,530,640,1873,1,738,English,USA,632,24000,2.64E+08,73058679
2012,8.1,Color,703,173,0,19000,26000,87697,3,1722,English,USA,21000,123000,2.20E+08,6.23E+08
2012,6.8,Color,451,106,188,718,10000,12572,1,341,English,USA,816,40000,2.25E+08,1.79E+08
2012,7,Color,599,153,464,963,15000,28489,0,1225,English,USA,10000,56000,2.30E+08,2.62E+08
2012,5.9,Color,377,131,532,627,14000,26679,0,751,English,USA,10000,44000,2.09E+08,65173160
2012,7.8,Color,750,143,0,393,883,2039,0,1498,English,UK,563,80000,2.00E+08,3.04E+08
2012,7.2,Color,488,93,56,838,2000,5005,0,428,English,USA,1000,39000,1.85E+08,2.37E+08
2012,6.1,Color,416,132,274,11000,26000,72881,0,710,English,USA,17000,53000,1.70E+08,1.55E+08
2012,7.8,Color,377,101,66,833,975,4451,1,345,English,USA,931,40000,1.65E+08,1.89E+08
2012,7.9,Color,645,182,0,773,5000,9152,,1367,English,USA,972,166000,1.80E+08,3.03E+08
2012,5.8,Color,310,99,473,502,14000,16184,0,253,English,USA,897,19000,1.50E+08,83640426
2012,6.2,Color,526,113,13000,16000,40000,80849,7,479,English,USA,17000,82000,1.00E+08,79711678
2012,6.9,Color,211,93,35,436,851,2444,0,154,English,USA,770,17000,1.45E+08,2.16E+08
2012,7.3,Color,256,97,52,161,20000,20645,0,174,English,USA,315,25000,1.45E+08,1.03E+08
2012,5.5,Color,322,115,386,12000,21000,59177,3,329,English,USA,17000,65000,1.20E+08,2.92E+08
2012,5.5,Color,322,115,386,12000,21000,59177,3,329,English,USA,17000,65000,1.20E+08,2.92E+08
2012,6.7,Color,436,135,209,602,10000,12175,0,504,English,USA,826,31000,1.25E+08,1.13E+08
2012,8,Color,552,127,0,341,774,2121,0,755,English,USA,358,122000,1.20E+08,1.25E+08
2012,7,Color,775,124,0,641,13000,24098,0,2326,English,USA,9000,97000,1.30E+08,1.26E+08
2012,8.5,Color,765,165,16000,265,29000,40978,1,1193,English,USA,11000,199000,1.00E+08,1.63E+08
2012,6.7,Color,383,103,165,13000,26000,57881,3,474,English,USA,13000,108000,92000000,85017401
2012,7.5,Color,511,172,670,1000,15000,22686,5,828,English,Germany,5000,124000,1.02E+08,27098580
2012,6.2,Color,255,85,116,329,8000,9271,0,177,English,USA,331,18000,95000000,86897182
2012,6.6,Color,233,88,20,916,22000,25354,0,139,English,USA,1000,14000,95000000,1.61E+08
2012,7.1,Color,256,91,266,11000,12000,37142,2,168,English,USA,11000,28000,85000000,1.48E+08
2012,6.8,Color,298,115,79,820,18000,36237,1,276,English,USA,16000,19000,85000000,1.26E+08
2012,5.6,Color,382,106,763,809,8000,11454,1,208,English,USA,886,18000,85000000,64933670
2012,7.1,Color,432,95,38,20,409,578,0,588,English,UK,107,46000,35000000,13401683
2012,7.3,Color,673,142,378,575,34000,49942,0,1959,English,USA,14000,140000,78000000,4.08E+08
2012,5.8,Color,178,94,62,722,14000,27842,3,133,English,USA,12000,0,79000000,1.04E+08
2012,6.4,Color,242,88,24,324,5000,5861,1,271,English,USA,327,24000,70000000,62321039
2012,5.9,Color,360,136,163,66,394,712,7,356,English,USA,217,33000,75000000,38509342
2012,5.9,Color,393,105,335,911,3000,8281,0,348,English,USA,3000,98000,69000000,37516013
2012,7.4,Color,538,150,14000,655,23000,25517,0,720,English,USA,826,71000,65000000,1.82E+08
2012,7.6,Color,488,158,0,11000,20000,46204,1,845,English,USA,13000,144000,61000000,1.49E+08
2012,6.4,Color,313,99,119,174,600,1375,0,310,English,USA,346,59000,65000000,59617068
2012,6.3,Color,241,103,368,520,27000,29808,3,238,English,USA,1000,18000,65000000,54758461
2012,5.4,Color,239,96,545,974,14000,17913,0,423,English,Germany,1000,32000,65000000,42345531
2012,7,Color,387,130,188,1000,10000,16385,2,448,English,USA,3000,38000,60000000,80033643
2012,7,Color,328,92,28,586,10000,13597,0,176,English,USA,884,12000,60000000,55994557
2011,6.7,Color,448,136,252,1000,40000,54083,4,484,English,USA,11000,58000,2.50E+08,2.41E+08
2011,6.3,Color,304,106,487,776,1000,4482,0,283,English,USA,919,10000,2.00E+08,1.91E+08
2011,5.6,Color,436,123,258,326,16000,17657,2,550,English,USA,368,24000,2.00E+08,1.17E+08
2011,6.3,Color,428,154,0,581,894,2593,2,899,English,USA,829,46000,1.95E+08,3.52E+08
2011,7.5,Color,682,126,17000,1000,17000,36017,0,678,English,USA,16000,42000,1.70E+08,73820094
2011,7.8,Color,500,132,905,1000,34000,50983,3,698,English,USA,13000,54000,1.60E+08,1.46E+08
2011,7,Color,516,115,0,12000,26000,60059,1,738,English,USA,20000,63000,1.50E+08,1.81E+08
2011,7.3,Color,284,90,90,15,11000,21015,0,209,English,USA,10000,20000,1.50E+08,1.65E+08
2011,5.4,Color,132,88,25,433,921,2652,0,112,English,USA,562,0,1.50E+08,21379315
2011,7.4,Color,432,133,663,690,10000,21768,3,512,English,USA,10000,35000,1.45E+08,2.09E+08
2011,6.9,Color,510,124,394,2000,11000,19761,0,679,English,USA,3000,46000,1.40E+08,1.77E+08
2011,5.9,Color,156,100,750,988,49000,62644,0,79,English,Australia,11000,0,1.35E+08,63992328
2011,7.2,Color,362,107,563,939,40000,43291,0,337,English,USA,1000,26000,1.35E+08,1.23E+08
2011,6.7,Color,246,90,50,397,4000,5046,0,137,English,USA,442,16000,1.30E+08,1.49E+08
2011,7.4,Color,440,107,14000,845,2000,4631,1,447,English,USA,871,44000,1.35E+08,77564037
2011,7.3,Color,342,132,681,12000,23000,55345,3,366,English,USA,14000,54000,1.25E+08,2.10E+08
2011,7.5,Color,382,129,0,154,21000,22403,2,412,English,USA,979,39000,1.25E+08,1.87E+08
2011,5.8,Color,447,119,1000,741,11000,13391,0,443,English,USA,1000,14000,1.20E+08,98780042
2011,5.5,Color,172,103,67,111,383,692,3,153,English,USA,113,31000,1.10E+08,1.43E+08
2011,7.1,Color,327,127,189,544,20000,22254,1,426,English,USA,929,36000,1.10E+08,85463309
2011,7.6,Color,136,146,611,28,23000,23240,2,130,Mandarin,China,196,13000,94000000,9213
2011,7.6,Color,529,105,81,779,11000,13118,0,646,English,USA,1000,47000,93000000,1.77E+08
2011,7.8,Color,517,158,21000,585,18000,20388,1,632,English,USA,1000,54000,90000000,1.03E+08
2011,7,Color,240,96,107,350,11000,12071,0,186,English,USA,560,19000,90000000,1.44E+08
2011,5.8,Color,228,110,545,5000,14000,27694,8,254,English,Germany,8000,19000,75000000,20315324
2011,6.2,Color,236,104,420,535,2000,3768,5,194,English,USA,906,0,75000000,78009155
2011,7.1,Color,190,97,6,561,1000,2707,1,78,English,UK,579,0,1.00E+08,46440491
2011,6.5,Color,383,102,480,461,14000,16143,0,402,English,USA,670,56000,80000000,2.54E+08
2011,4.4,Color,91,87,31,733,1000,4073,0,56,English,USA,1000,0,75000000,1.33E+08
2011,6.4,Color,204,117,221,503,11000,16325,1,203,English,USA,3000,19000,80000000,1.03E+08
2011,5.2,Color,178,102,153,269,3000,5392,1,127,English,USA,1000,0,80000000,80360866
2011,3.4,Color,156,91,221,553,14000,27405,2,264,English,USA,11000,0,79000000,74158157
2011,6.1,Color,284,110,763,222,15000,16691,1,405,English,USA,1000,30000,75000000,83503161
2011,6.1,Color,435,128,0,826,4000,7067,4,918,English,USA,2000,42000,82000000,36381716
2011,5.8,Color,355,116,473,464,833,4001,0,800,English,USA,697,25000,70000000,83552429
2011,7.2,Black and White,388,146,14000,979,25000,46726,1,488,English,USA,19000,28000,66000000,79883359
2011,5.3,Color,185,111,2000,244,17000,18510,2,141,English,USA,1000,0,70000000,48430355
2011,6.5,Color,189,116,5,748,26000,49608,2,157,English,UK,22000,17000,35000000,25093607
2011,5.9,Color,237,111,101,681,966,3393,3,143,English,USA,919,10000,36000000,45045037
2011,5.5,Color,156,95,25,439,989,2558,0,82,English,USA,664,0,63000000,1.08E+08
2010,7.8,Color,324,100,15,284,799,2036,1,387,English,USA,553,29000,2.60E+08,2.01E+08
2010,6.7,Color,343,156,0,738,891,3244,0,546,English,USA,882,17000,2.00E+08,1.05E+08
2010,6.5,Color,451,108,13000,11000,40000,79957,0,736,English,USA,25000,24000,2.00E+08,3.34E+08
2010,6.8,Color,469,125,364,1000,12000,25550,0,665,English,USA,10000,30000,1.70E+08,1.72E+08
2010,8.3,Color,453,103,125,721,15000,19085,3,733,English,USA,1000,30000,2.00E+08,4.15E+08
2010,6.6,Color,306,116,179,236,15000,16149,2,453,English,USA,567,23000,2.00E+08,90755643
2010,7,Color,453,124,4000,4000,21000,48638,4,723,English,USA,19000,18000,2.00E+08,3.12E+08
2010,6.4,Color,226,93,31,213,4000,4628,2,173,English,USA,225,0,1.65E+08,2.38E+08
2010,8.2,Color,288,98,255,759,18000,20453,0,492,English,USA,953,33000,1.65E+08,2.17E+08
2010,8.8,Color,642,148,22000,23000,29000,81115,0,2803,English,USA,27000,175000,1.60E+08,2.93E+08
2010,6.1,Color,235,109,226,370,12000,13388,0,238,English,USA,418,11000,1.50E+08,63143812
2010,6.3,Color,228,113,150,59,531,764,4,227,English,USA,82,11000,1.55E+08,1.04E+08
2010,5.8,Color,357,119,394,162,12000,13071,0,432,English,USA,490,0,1.50E+08,61937495
2010,4.2,Color,280,103,0,346,1000,2857,0,1382,English,USA,756,18000,1.50E+08,1.32E+08
2010,6.4,Color,330,101,176,282,11000,12406,1,514,English,USA,702,23000,1.10E+08,1.18E+08
2010,7.3,Color,233,95,96,8000,24000,46120,3,187,English,USA,11000,13000,1.30E+08,1.48E+08
2010,5.8,Color,344,106,255,850,14000,18003,0,637,English,USA,1000,15000,1.25E+08,1.63E+08
2010,5.3,Color,168,121,274,157,273,993,4,196,English,USA,216,0,1.20E+08,30212620
2010,6.3,Color,283,117,446,877,10000,12731,0,348,English,USA,973,11000,1.17E+08,76418654
2010,4.9,Color,184,85,11,116,480,1173,1,121,English,USA,392,0,1.12E+08,42776259
2010,5.5,Color,180,98,80,708,22000,24082,10,152,English,USA,713,0,1.00E+08,1.48E+08
2010,6.7,Color,265,116,285,107,12000,20233,2,316,English,USA,8000,16000,1.00E+08,1.19E+08
2010,6,Color,321,103,207,3000,40000,55175,0,374,English,USA,11000,25000,1.00E+08,67631157
2010,7,Color,188,101,0,577,2000,4286,1,160,English,USA,653,16000,80000000,55673333
2010,6.9,Color,266,115,521,95,13000,13761,1,261,English,France,537,0,1.00E+08,35024475
2010,4.3,Color,221,146,127,722,962,4555,4,293,English,USA,740,0,1.00E+08,95328937
2010,5.9,Color,217,118,0,1000,8000,14024,0,419,English,UK,3000,9000,95000000,88761720
2010,6.8,Color,316,98,12000,1000,18000,25780,1,326,English,USA,3000,18000,1.00E+08,81557479
2010,4.4,Color,47,110,96,554,887,2728,0,24,English,UK,886,788,90000000,190562
2010,7.5,Color,393,112,1000,719,10000,12687,0,522,English,USA,1000,36000,60000000,31494270
2010,4.3,Color,91,82,62,615,975,3326,0,63,English,USA,760,0,85000000,43575716
2010,6.5,Color,424,113,13000,5000,26000,46355,9,741,English,USA,13000,57000,80000000,1.03E+08
2010,8.1,Color,490,138,17000,163,29000,29585,0,964,English,USA,223,53000,80000000,1.28E+08
2010,6.9,Color,325,118,117,10000,18000,44797,0,560,English,USA,15000,20000,80000000,94822707
2010,4.6,Color,143,80,40,375,3000,4394,0,100,English,USA,642,0,80000000,1.00E+08
2010,6,Color,179,102,221,4000,12000,28497,4,311,English,USA,11000,12000,80000000,1.62E+08
2010,5.4,Color,140,100,126,925,19000,25206,2,120,English,USA,1000,0,75000000,47000485
2010,6.3,Color,297,136,0,17,903,1579,2,245,English,USA,592,13000,70000000,52474616
2010,4.9,Color,293,124,171,10000,21000,52547,3,498,English,USA,17000,29000,68000000,3.01E+08
2010,7.7,Color,304,87,275,975,7000,11608,0,296,English,USA,2000,31000,69000000,2.52E+08
2009,7.9,Color,723,178,0,855,1000,4834,0,3054,English,USA,936,33000,2.37E+08,7.61E+08
2009,7.5,Color,375,153,282,10000,25000,58753,3,973,English,UK,11000,10000,2.50E+08,3.02E+08
2009,6,Color,366,150,0,464,894,3218,0,1439,English,USA,581,0,2.00E+08,4.02E+08
2009,6.6,Color,422,118,368,988,23000,27468,0,974,English,USA,3000,0,2.00E+08,1.25E+08
2009,5.8,Color,367,158,776,310,1000,2144,0,1055,English,USA,468,13000,2.00E+08,1.66E+08
2009,6.8,Color,240,96,0,10000,18000,48878,0,249,English,USA,14000,0,2.00E+08,1.38E+08
2009,8.3,Color,408,96,0,262,1000,2635,1,704,English,USA,848,27000,1.75E+08,2.93E+08
2009,6.5,Color,219,94,11,459,1000,2579,2,187,English,USA,973,0,1.75E+08,1.98E+08
2009,5.8,Color,250,118,208,570,23000,26683,4,534,English,USA,2000,0,1.75E+08,1.50E+08
2009,5.9,Color,185,105,189,1000,49000,54039,2,209,English,USA,3000,2000,1.50E+08,1.77E+08
2009,6.7,Color,350,119,151,2000,20000,40054,0,641,English,USA,16000,0,1.50E+08,1.80E+08
2009,6.7,Color,298,146,2000,294,15000,16948,2,435,English,USA,745,0,1.50E+08,1.33E+08
2009,5.1,Color,145,88,12,182,730,2217,0,90,English,USA,607,0,1.50E+08,1.19E+08
2009,8,Color,518,127,14000,981,26000,39284,0,1559,English,USA,12000,19000,1.50E+08,2.58E+08
2009,7.7,Color,451,215,0,413,986,2530,1,1229,English,USA,745,18000,1.30E+08,1.08E+08
2009,7.1,Color,228,97,63,525,852,2480,0,214,English,USA,578,5000,1.05E+08,1.04E+08
2009,7,Color,357,140,0,1000,40000,64599,1,585,English,USA,23000,0,1.00E+08,97030725
2009,6.4,Color,267,106,12000,385,18000,19906,1,285,English,USA,464,0,1.00E+08,65452312
2009,6.8,Color,333,101,0,279,925,1738,0,388,English,Germany,468,11000,1.00E+08,77222184
2009,5.4,Color,167,102,52,526,8000,10552,1,224,English,USA,735,0,1.00E+08,49392095
2009,6.7,Color,308,135,0,310,873,2370,1,593,English,USA,560,16000,65000000,43982842
2009,7,Color,191,90,97,56,622,1227,1,156,English,USA,526,0,1.00E+08,1.25E+08
2009,7,Color,188,94,107,117,835,1258,0,132,English,USA,256,0,90000000,1.97E+08
2009,7.6,Color,415,128,0,727,21000,23996,3,621,English,USA,979,20000,90000000,2.09E+08
2009,6.6,Color,187,120,278,963,11000,15226,2,214,English,USA,2000,0,85000000,1.13E+08
2009,6.3,Color,258,89,84,1000,13000,18132,5,252,English,USA,1000,0,80000000,38542418
2009,5.8,Black and White,205,118,252,30,529,619,4,232,English,USA,48,0,80000000,19673424
2009,7.8,Color,113,104,63,7,67,152,0,42,French,France,63,0,40000000,19406406
2009,5.4,Color,107,100,87,446,3000,5174,4,57,English,USA,576,1000,35000000,73023275
2009,6.4,Color,230,153,0,130,11000,11852,1,301,English,USA,561,0,75000000,51814190
2009,8.3,Color,486,153,16000,11000,13000,36741,1,1527,English,USA,11000,42000,75000000,1.21E+08
2009,4.5,Color,107,88,84,1000,1000,5227,0,98,English,USA,1000,2000,75000000,2.20E+08
2009,7.2,Color,180,141,448,334,614,1829,2,172,English,Spain,451,29000,70000000,617840
2009,6.3,Color,138,94,42,668,12000,23365,1,77,English,Hong Kong,9000,0,65000000,19548064
2009,5.5,Color,166,113,0,721,4000,8172,6,144,English,USA,722,0,60000000,1.09E+08
2009,7.3,Color,136,111,197,6,433,679,0,223,English,USA,208,0,60000000,71844424
2009,7.7,Black and White,310,100,253,57,309,647,1,279,English,USA,229,10000,60000000,75280058
2009,4.9,Color,170,100,11000,485,10000,12258,2,203,English,USA,1000,0,60000000,43337279
2009,7.4,Color,306,134,16000,204,13000,24458,1,259,English,USA,11000,23000,60000000,37479778
