Movie_Title,Movie_years,Content_Ratio,Aspect_Ratio,Movie_actor_1_name,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_name,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_name,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_names,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_names,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_name,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings
Need for Speed,2014,PG-13,2.35,Aaron Paul,58,1,16,Dominic Cooper,40,0,2,Imogen Poots,0,0,1,Scott Waugh,5,0,1,George Gatins,0,0,0,Nathan Furst,20,0,0,Shane Hurlbut,24,0,0,"66,000,000.00",6.4
Unbroken,2014,PG-13,2.35,Jack O'Connell,22,0,2,Domhnall Gleeson,23,0,11,Garrett Hedlund,14,0,3,Angelina Jolie Pitt,2,1,56,Joel Coen,24,4,136,Alexandre Desplat,57,2,99,Roger Deakins,75,2,168,"65,000,000.00",7.2
Annie,2013,PG,2.39,Albert Finney,25,0,19,Carol Burnett,0,0,3,Ann Reinking,0,0,2,Will Gluck,4,0,0,Carol Sobieski,20,0,2,Charles Strouse,6,0,2,Richard Moore,0,1,19,"65,000,000.00",8.5
Sin City: A Dame to Kill For,2014,R,1.85,Mickey Rourke,69,0,16,Jessica Alba,0,0,1,Josh Brolin,54,0,5,Frank Miller,2,0,2,Frank Miller,20,0,2,Robert Rodriguez,7,0,39,Robert Rodriguez,14,0,39,"65,000,000.00",6.8
Gone Girl,2014,R,2.35,Ben Affleck,56,0,2,Rosamund Pike,0,0,17,Neil Patrick Harris,90,0,1,David Fincher,90,0,68,Gillian Flynn,0,0,25,Trent Reznor,11,1,21,Jeff Cronenweth,35,0,1,"61,000,000.00",8.1
Jack Ryan: Shadow Recruit,2014,PG-13,2.35,Chris Pine,29,0,4,Keira Knightley,0,0,6,Kevin Costner,48,0,1,Kenneth Branagh,15,0,33,Adam Cozad,0,0,0,Patrick Doyle,27,0,12,Haris Zambarloukos,27,0,1,"60,000,000.00",6.2
The Boxtrolls,2014,PG,1.85,Steve Blum,606,0,0,Dee Bradley Baker,436,0,11,Max Mitchell,0,0,5,Graham Annable,3,0,10,Irena Brignull,2,0,0,Dario Marianelli,21,1,14,John Ashlee Prat,7,0,1,"60,000,000.00",6.8
The Lone Ranger,2013,PG-13,2.35,Johnny Depp,68,0,64,Armie Hammer,18,0,2,William Fichtner,59,0,25,Gore Verbinski,19,1,8,Justin Haythe,2,0,2,Hans Zimmer,103,1,121,Bojan Bazelli,35,0,2,"215,000,000.00",6.4
Man of Steel,2013,PG-13,2.35,Henry Cavill,15,0,1,Amy Adams,0,0,1,Michael Shannon,55,0,7,Zack Snyder,16,0,5,David S. Goyer,32,0,8,Hans Zimmer,103,1,121,Amir Mokri,23,0,0,"225,000,000.00",7
The Hobbit: The Desolation of Smaug,2013,PG-13,2.35,Ian McKellen,94,0,3,Martin Freeman,58,0,0,Richard Armitage,31,0,10,Peter Jackson,20,3,136,Fran Walsh,13,3,44,Howard Shore,72,3,87,Andrew Lesnie,46,1,27,"225,000,000.00",7.8
Iron Man 3,2013,PG-13,2.35,Robert Downey Jr.,79,0,33,Gwyneth Paltrow,0,0,6,Don Cheadle,75,0,36,Shane Black,1,0,4,Drew Pearce,6,0,0,Brian Tyler,57,0,16,John Toll,31,2,16,"200,000,000.00",7.2
Oz the Great and Powerful,2013,PG,2.35,James Franco,72,0,0,Mila Kunis,0,0,12,Rachel Weisz,0,0,51,Sam Raimi,32,0,14,Mitchell Kapner,5,0,0,Danny Elfman,86,0,80,Peter Deming,48,0,2,"215,000,000.00",6.3
World War Z,2013,PG-13,2.35,Brad Pitt,66,1,10,Mireille Enos,0,2,83,Daniella Kertesz,0,0,0,Marc Forster,10,0,6,Matthew Michael Carnahan,3,0,0,Marco Beltrami,43,0,18,Ben Seresin,13,0,0,"190,000,000.00",7
Star Trek Into Darkness,2013,PG-13,2.35,Chris Pine,26,0,28,Zachary Quinto,37,0,6,Zoe Saldana,0,0,6,J.J. Abrams,11,0,25,Roberto Orci,13,0,3,Michael Giacchino,28,1,80,Dan Mindel,18,0,0,"190,000,000.00",7.7
Jack the Giant Slayer,2013,PG-13,2.35,Nicholas Hoult,29,0,7,Eleanor Tomlinson,0,0,3,Ewan McGregor,60,0,0,Bryan Singer,11,0,18,Darren Lemke,5,0,0,John Ottman,32,1,8,Newton Thomas Sigel,58,0,5,"195,000,000.00",6.2
The Great Gatsby,2013,PG-13,2.35,Lisa Adam,0,1,82,Frank Aldridge,3,0,4,Amitabh Bachchan,195,0,2,Baz Luhrmann,13,0,35,Baz Luhrmann,11,0,35,Craig Armstrong,24,1,13,Simon Duggan,10,0,5,"105,000,000.00",7.2
Pacific Rim,2013,PG-13,1.85,Charlie Hunnam,16,0,3,Diego Klattenhoff,44,0,5,Idris Elba,59,0,0,Guillermo del Toro,12,2,97,Travis Beacham,5,0,0,Ramin Djawadi,21,0,22,Guillermo Navarro,40,1,8,"190,000,000.00",6.9
47 Ronin,2013,PG-13,2.35,Keanu Reeves,72,0,10,Hiroyuki Sanada,95,0,1,Ko Shibasaki,0,0,0,Carl Rinsch,5,0,0,Chris Morgan,6,0,0,Ilan Eshkeri,15,0,3,John Mathieson,46,0,8,"175,000,000.00",6.3
Frozen,2013,PG,2.24,Kristen Bell,0,0,8,Idina Menzel,0,0,13,Jonathan Groff,8,0,2,Chris Buck,2,1,12,Jennifer Lee,0,0,1,Kristen Anderson-Lopez,1,2,18,Jeff Draheim,0,0,1,"150,000,000.00",7.4
Thor: The Dark World,2013,PG-13,2.35,Chris Hemsworth,17,0,10,Natalie Portman,0,1,77,Tom Hiddleston,25,1,52,Alan Taylor,30,0,8,Christopher L. Yost,8,0,0,Brian Tyler,57,0,16,Kramer Morgenthau,55,0,2,"170,000,000.00",6.9
White House Down,2013,PG-13,2.35,Channing Tatum,31,0,17,Jamie Foxx,51,0,0,Maggie Gyllenhaal,0,0,0,Roland Emmerich,16,0,19,James Vanderbilt,6,0,0,Harald Kloser,6,0,3,Anna Foerster,5,0,1,"150,000,000.00",6.4
G.I. Joe: Retaliation,2013,PG-13,2.35,Dwayne Johnson,48,0,17,Jonathan Pryce,92,0,11,Byung-hun Lee,30,0,0,Jon M. Chu,12,0,2,Rhett Reese,11,0,2,Henry Jackman,16,0,11,Stephen F. Windon,35,0,3,"130,000,000.00",5.8
Turbo,2013,PG,2.35,Ryan Reynolds,51,0,16,Paul Giamatti,72,0,6,Michael PeÃ±a,55,0,3,David Soren,3,0,0,Darren Lemke,5,0,0,Henry Jackman,16,0,11,Chris Stover,0,0,0,"135,000,000.00",6.4
The Hunger Games: Catching Fire,2013,PG-13,2.35,Jennifer Lawrence,0,0,98,Liam Hemsworth,11,0,16,Jack Quaid,4,0,1,Francis Lawrence,78,0,5,Simon Beaufoy,14,1,26,James Newton Howard,94,0,68,Jo Willems,27,0,1,"130,000,000.00",7.5
After Earth,2013,PG-13,2.35,Jaden Smith,15,0,51,Will Smith,58,0,3,Sophie Okonedo,0,0,3,M. Night Shyamalan,9,0,16,Gary Whitta,4,0,0,James Newton Howard,94,0,68,Peter Suschitzky,49,0,9,"130,000,000.00",4.8
R.I.P.D.,2013,PG-13,2.35,Jeff Bridges,80,0,16,Ryan Reynolds,51,1,38,Kevin Bacon,76,0,1,Robert Schwentke,7,0,15,Phil Hay,5,0,5,Christophe Beck,21,0,5,Alwin H. KÃ¼chler,35,0,4,"130,000,000.00",5.6
Elysium,2013,R,2.35,Matt Damon,62,1,29,Jodie Foster,0,0,1,Sharlto Copley,5,0,12,Neill Blomkamp,10,0,14,Neill Blomkamp,5,0,14,Ryan Amon,2,0,1,Trent Opaloch,10,0,0,"115,000,000.00",6.6
Oblivion,2013,PG-13,2.35,Tom Cruise,37,1,57,Morgan Freeman,99,0,42,Olga Kurylenko,0,0,6,Joseph Kosinski,2,0,0,Karl Gajdusek,1,0,0,Anthony Gonzalez,0,0,10,Claudio Miranda,19,1,24,"120,000,000.00",7
The Wolverine,2013,PG-13,2.35,Hugh Jackman,38,0,24,Tao Okamoto,0,0,0,Rila Fukushima,0,0,0,James Mangold,11,0,11,Mark Bomback,7,0,0,Marco Beltrami,43,0,18,Ross Emery,11,0,2,"120,000,000.00",6.7
The Croods,2013,PG,2.35,Nicolas Cage,66,0,16,Emma Stone,0,1,67,Ryan Reynolds,51,1,44,Kirk De Micco,1,0,0,Chris Sanders,14,0,8,Alan Silvestri,72,0,43,Darren T. Holmes,0,0,0,"135,000,000.00",7.2
Gravity,2013,PG-13,2.35,Sandra Bullock,0,0,0,George Clooney,78,0,0,Ed Harris,81,0,0,Alfonso CuarÃƒÂ³n,22,4,231,Alfonso CuarÃ³n,10,4,253,Steven Price,40,1,19,Emmanuel Lubezki,36,3,144,"100,000,000.00",7.7
The Smurfs 2,2013,PG,1.85,Hank Azaria,81,0,17,Neil Patrick Harris,86,0,2,Brendan Gleeson,75,0,2,Raja Gosnell,9,0,0,J. David Stem,13,0,0,Heitor Pereira,82,0,6,Phil Meheux,51,0,3,"105,000,000.00",5.3
Ender's Game,2013,"PG-13",2.35,Asa Butterfield,8,0,38,Harrison Ford,67,0,0,Hailee Steinfeld,0,0,0,Gavin Hood,9,0,29,Gavin Hood,6,0,29,Steve Jablonsky,33,0,8,Donald McAlpine,60,0,11,"110,000,000.00",6.6
The Wolf of Wall Street,2013,R,2.35,Leonardo DiCaprio,41,1,82,Jonah Hill,40,1,34,Margot Robbie,0,0,8,Martin Scorsese,53,1,5,Terence Winter,8,0,20,Rodrigo Prieto,0,0,16,Thelma Schoonmaker,0,3,36,"100,000,000.00",8.2
A Good Day to Die Hard,2013,R,1.85,Bruce Willis,96,0,17,Jai Courtney,6,0,1,Sebastian Koch,86,0,0,John Moore,6,1,166,Skip Woods,5,0,1,Marco Beltrami,43,0,18,Jonathan Sela,37,0,2,"92,000,000.00",5.3
The Secret Life of Walter Mitty,2013,PG,2.35,Ben Stiller,109,0,2,Kristen Wiig,0,0,0,Jon Daly,45,0,0,Ben Stiller,14,0,0,Steve Conrad,7,0,0,Theodore Shapiro,9,0,15,Stuart Dryburgh,42,0,10,"90,000,000.00",7.3
Percy Jackson: Sea of Monsters,2013,PG,2.35,Logan Lerman,20,0,5,Alexandra Daddario,0,0,1,Douglas Smith,31,0,1,Thor Freudenthal,10,0,3,Marc Guggenheim,13,0,2,Andrew Lockington,33,0,12,Shelly Johnson,60,0,0,"90,000,000.00",5.8
RED 2,2018,PG-13,2.35,Bruce Willis,96,0,17,John Malkovich,83,1,37,Mary-Louise Parker,0,0,0,Dean Parisot,37,1,6,Jon Hoeber,4,0,0,Alan Silvestri,72,0,43,Enrique Chediak,32,0,7,"84,000,000.00",7.3
Grown Ups 2,2013,PG-13,1.85,Adam Sandler,51,0,22,Kevin James,23,0,53,Chris Rock,55,0,1,Dennis Dugan,36,1,4,Fred Wolf,13,0,0,Rupert Gregson-Williams,21,0,12,Theo van de Sande,94,0,3,"80,000,000.00",5.4
Walking with Dinosaurs 3D,2013,PG,2.35,Charlie Rowe,8,0,0,Karl Urban,30,0,1,Angourie Rice,0,0,0,Barry Cook,7,2,4,John Collee,9,0,1,Paul Leonard-Morgan,4,0,1,John Brooks,0,0,0,"80,000,000.00",5.2
Cloudy with a Chance of Meatballs 2,2013,PG,2.35,Bill Hader,57,0,1,Anna Faris,0,0,0,James Caan,111,0,0,Cody Cameron,0,0,0,Erica Rivinoja,12,0,6,Mark Mothersbaugh,30,0,21,Robert Fisher Jr.,0,0,2,"78,000,000.00",6.4
Despicable Me 2,2010,PG,1.85,Steve Carell,50,0,29,Kristen Wiig,0,0,2,Benjamin Bratt,48,0,14,Pierre Coffin,3,0,22,Cinco Paul,14,0,1,Heitor Pereira,82,0,6,Gregory Perler,0,0,0,"76,000,000.00",7.6
Now You See Me,2013,PG-13,2.35,Jesse Eisenberg,25,1,57,Mark Ruffalo,51,1,14,Woody Harrelson,71,0,1,Louis Leterrier,10,0,1,Ed Solomon,16,0,1,Brian Tyler,57,0,16,Mitchell Amundsen,13,0,0,"75,000,000.00",7.3
Escape Plan,2013,R,2.35,Sylvester Stallone,66,0,52,Arnold Schwarzenegger,53,0,6,Jim Caviezel,34,0,0,Mikael HÃƒÂ¥fstrÃƒÂ¶m,23,0,5,Miles Chapman,1,0,0,Alex Heffes,10,0,5,Brendan Galvin,26,0,0,"50,000,000.00",6.7
The Dark Knight Rises,2012,PG-13,2.35,Christian Bale,40,0,16,Gary Oldman,76,1,57,Tom Hardy,37,0,22,Christopher Nolan,11,0,121,Jonathan Nolan,5,0,10,Hans Zimmer,100,1,121,Wally Pfister,41,1,26,"250,000,000.00",8.4
John Carter,2012,PG-13,2.35,Taylor Kitsch,9,0,2,Lynn Collins,0,0,14,Samantha Morton,0,0,1,Andrew Stanton,7,2,34,Andrew Stanton,13,2,34,Michael Giacchino,26,1,80,Dan Mindel,16,0,0,"263,700,000.00",6.6
The Avengers,2012,PG-13,1.85,Robert Downey Jr.,78,0,17,Chris Evans,32,0,33,Mark Ruffalo,49,0,61,Joss Whedon,11,0,25,Joss Whedon,20,0,25,Alan Silvestri,70,0,43,Seamus McGarvey,48,0,13,"220,000,000.00",8
Men in Black 3,2012,PG-13,1.85,Will Smith,56,0,49,Tommy Lee Jones,69,0,8,Josh Brolin,49,0,1,Barry Sonnenfeld,19,0,7,Etan Cohen,9,0,3,Danny Elfman,82,0,80,Bill Pope,43,0,3,"225,000,000.00",6.8
The Amazing Spider-Man,2012,PG-13,2.35,Andrew Garfield,18,1,62,Emma Stone,0,0,13,Rhys Ifans,56,0,0,Marc Webb,52,0,7,James Vanderbilt,5,0,0,James Horner,138,2,51,John Schwartzman,30,0,1,"230,000,000.00",6.9
Battleship,2012,PG-13,2.35,Taylor Kitsch,9,0,18,Alexander SkarsgÃ¥rd,38,0,10,Rihanna,0,0,14,Peter Berg,13,0,3,Jon Hoeber,3,0,0,Steve Jablonsky,32,0,8,Tobias A. Schliessler,51,0,0,"209,000,000.00",5.8
Skyfall,2012,PG-13,2.35,Daniel Craig,59,0,18,Judi Dench,0,0,3,Javier Bardem,45,0,3,Sam Mendes,6,1,55,Neal Purvis,11,0,1,Thomas Newman,32,0,65,Roger Deakins,73,2,168,"200,000,000.00",7.7
Brave,2020,PG,2.35,Kelly Macdonald,0,0,18,Billy Connolly,63,0,1,Emma Thompson,0,0,23,Mark Andrews,5,1,6,Brenda Chapman,4,1,2,Patrick Doyle,26,0,12,Nicholas C. Smith,4,0,2,"185,000,000.00",7.1
Snow White and the Huntsman,2012,PG-13,2.35,Kristen Stewart,0,0,12,Chris Hemsworth,14,0,34,Charlize Theron,0,0,3,Rupert Sanders,3,1,2,Evan Daugherty,1,0,1,James Newton Howard,92,0,68,Greig Fraser,27,0,15,"170,000,000.00",6.1
Wreck-It Ralph,2012,PG,2.35,John C. Reilly,68,0,2,Sarah Silverman,0,0,4,Jack McBrayer,32,0,2,Rich Moore,10,1,19,Rich Moore,3,1,19,Henry Jackman,15,0,11,Rob Dressel,2,0,1,"165,000,000.00",7.7
Wrath of the Titans,2012,PG-13,1.85,Sam Worthington,29,0,17,Liam Neeson,82,0,7,Ralph Fiennes,48,0,4,Jonathan Liebesman,6,0,2,Dan Mazeau,0,0,0,Javier Navarrete,6,0,7,Ben Davis,0,0,0,"150,000,000.00",5.7
Dark Shadows,2012,PG-13,1.85,Johnny Depp,65,0,58,Michelle Pfeiffer,0,0,17,Helena Bonham Carter,0,0,31,Tim Burton,32,0,27,Seth Grahame-Smith,3,0,0,Danny Elfman,82,0,80,Bruno Delbonnel,17,0,13,"100,000,000.00",6.2
Madagascar 3: Europe's Most Wanted,2012,PG,1.85,Ben Stiller,105,0,4,Chris Rock,52,0,8,David Schwimmer,40,0,10,Eric Darnell,6,0,7,Eric Darnell,4,0,7,Hans Zimmer,100,1,121,Nick Fletcher,0,0,0,"145,000,000.00",6.8
Rise of the Guardians,2012,PG,1.85,Chris Pine,22,0,22,Alec Baldwin,96,0,0,Jude Law,44,0,0,Peter Ramsey,5,1,16,David Lindsay-Abaire,3,0,0,Alexandre Desplat,53,2,99,Joyce Arrastia,0,0,0,"145,000,000.00",7.3
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,2.35,Kristen Stewart,0,0,34,Robert Pattinson,15,0,37,Taylor Lautner,19,0,19,Bill Condon,15,1,18,Melissa Rosenberg,0,0,0,Carter Burwell,51,0,29,Guillermo Navarro,38,1,16,"120,000,000.00",5.5
The Bourne Legacy,2012,PG-13,2.35,Jeremy Renner,37,0,26,Scott Glenn,88,0,0,Stacy Keach,166,0,9,Tony Gilroy,2,0,3,Tony Gilroy,15,0,3,James Newton Howard,92,0,68,Robert Elswit,72,1,16,"125,000,000.00",6.6
Life of Pi,2012,PG,1.85,Suraj Sharma,0,0,3,Irrfan Khan,117,0,2,Ayush Tandon,1,0,27,Ang Lee,20,2,102,Yann Martel,2,0,0,Mychael Danna,26,1,33,Claudio Miranda,18,1,24,"120,000,000.00",7.9
Prometheus,2012,R,2.35,Noomi Rapace,0,0,54,Michael Fassbender,36,1,51,Charlize Theron,0,0,3,Ridley Scott,38,0,44,Jon Spaihts,1,0,0,Marc Streitenfeld,25,0,4,Dariusz Wolski,52,0,1,"130,000,000.00",7
Django Unchained,2012,R,2.35,Jamie Foxx,50,1,67,Christoph Waltz,99,2,67,Leonardo DiCaprio,40,0,0,Quentin Tarantino,18,2,147,Quentin Tarantino,22,2,165,Robert Richardson,0,3,19,Fred Raskin,45,3,18,"100,000,000.00",8.4
The Expendables 2,2012,R,2.35,Sylvester Stallone,64,0,1,Jason Statham,34,0,47,Jet Li,44,0,21,Simon West,16,0,2,Richard Wenk,4,0,0,Brian Tyler,55,0,16,Shelly Johnson,58,0,0,"92,000,000.00",6.6
Cloud Atlas,2012,R,2.35,Tom Hanks,65,2,69,Halle Berry,0,0,2,Jim Broadbent,123,1,23,Tom Tykwer,17,0,39,David Mitchell,15,0,4,Reinhold Heil,16,0,8,Frank Griebe,36,0,14,"102,000,000.00",7.4
The Campaign,2012,R,1.85,Will Ferrell,78,0,12,Zach Galifianakis,49,0,1,Jason Sudeikis,29,0,0,Jay Roach,11,0,4,Chris Henchy,18,0,3,Theodore Shapiro,9,0,15,Jim Denault,50,0,0,"95,000,000.00",6.1
Ice Age: Continental Drift,2012,PG,2.35,Aziz Ansari,29,0,18,Joy Behar,0,0,8,Christopher Campbell,2,0,22,Steve Martino,8,0,1,Michael Berg,4,0,0,John Powell,16,0,41,Renato FalcÃ£o,14,0,4,"95,000,000.00",6.6
Hotel Transylvania,2012,PG,1.85,Adam Sandler,49,0,21,Andy Samberg,51,0,49,Selena Gomez,0,0,1,Genndy Tartakovsky,20,0,7,Peter Baynham,23,0,1,Mark Mothersbaugh,29,0,21,Catherine Apple,1,0,0,"85,000,000.00",7.1
Safe House,2012,R,2.35,Denzel Washington,50,2,68,Ryan Reynolds,49,0,11,Vera Farmiga,0,0,6,Daniel Espinosa,7,0,3,David Guggenheim,0,0,0,Ramin Djawadi,19,0,22,Oliver Wood,47,0,0,"85,000,000.00",6.7
Mirror Mirror,2012,PG,1.85,Julia Roberts,0,1,41,Lily Collins,0,0,7,Armie Hammer,14,0,9,Tarsem Singh,10,0,6,Marc Klein,3,0,0,Alan Menken,24,8,48,Brendan Galvin,25,0,0,"85,000,000.00",5.6
Dredd,2012,R,2.35,Karl Urban,29,0,1,Rachel Wood,0,0,14,Andile Mngadi,1,0,1,Pete Travis,10,0,3,John Wagner,6,0,0,Paul Leonard-Morgan,4,0,1,Anthony Dod Mantle,43,1,28,"35,000,000.00",7.1
The Hunger Games,2012,PG-13,2.35,Stanley Tucci,87,1,78,Wes Bentley,22,0,11,Jennifer Lawrence,0,0,1,Gary Ross,2,0,8,Gary Ross,9,0,8,James Newton Howard,92,0,68,Tom Stern,22,0,3,"78,000,000.00",7.2
Journey 2: The Mysterious Island,2012,PG,1.85,Dwayne Johnson,46,0,14,Michael Caine,153,0,9,Josh Hutcherson,29,0,5,Brad Peyton,8,0,0,Brian Gunn,3,0,0,Andrew Lockington,33,0,12,David Tattersall,51,0,0,"79,000,000.00",5.8
Underworld: Awakening,2012,R,2.35,Kate Beckinsale,0,0,3,Stephen Rea,110,0,5,Michael Ealy,30,0,0,MÃƒÂ¥ns MÃƒÂ¥rlind,10,0,6,Len Wiseman,5,0,0,Paul Haslinger,23,0,1,Scott Kevan,35,0,2,"70,000,000.00",6.4
Rock of Ages,2012,PG-13,2.35,Julianne Hough,0,0,0,Dakota Sage Grant,0,0,0,Matthew Rush Sullivan,0,0,0,Adam Shankman,19,0,3,Justin Theroux,4,0,3,Adam Anders,5,0,2,Bojan Bazelli,34,0,2,"75,000,000.00",5.9
Abraham Lincoln: Vampire Hunter,2012,R,2.35,Benjamin Walker,12,0,0,Dominic Cooper,35,0,2,Anthony Mackie,30,0,0,Timur Bekmambetov,13,0,11,Seth Grahame-Smith,3,0,0,Henry Jackman,15,0,11,Caleb Deschanel,28,0,11,"69,000,000.00",5.9
Lincoln,2012,PG-13,2.35,Daniel Day-Lewis,27,0,16,Sally Field,0,0,11,David Strathairn,102,0,3,Steven Spielberg,54,2,167,Tony Kushner,3,0,24,John Williams,222,5,184,Janusz Kaminski,38,2,36,"65,000,000.00",7.3
Les MisÃƒÂ©rables,2012,PG-13,1.85,Hugh Jackman,36,1,17,Russell Crowe,42,1,14,Anne Hathaway,0,1,68,Tom Hooper,15,1,35,William Nicholson,16,0,2,Danny Cohen,0,0,1,Chris Dickens,12,1,8,"61,000,000.00",7.6
The Dictator,2012,R,2.35,Sacha Baron Cohen,27,0,4,Sayed Badreya,48,0,0,Rocky Citron,0,0,0,Larry Charles,10,0,3,Sacha Baron Cohen,11,0,25,Erran Baron Cohen,2,0,3,Lawrence Sher,33,0,2,"65,000,000.00",6.4
This Means War,2012,PG-13,2.35,Reese Witherspoon,0,0,14,Chris Pine,22,0,2,Tom Hardy,37,0,0,McG,31,0,2,Timothy Dowling,5,0,0,Christophe Beck,20,0,5,Russell Carpenter,39,1,7,"65,000,000.00",6.3
Resident Evil: Retribution,2012,R,2.35,Milla Jovovich,0,0,3,Sienna Guillory,0,0,0,Michelle Rodriguez,0,0,11,Paul W.S. Anderson,12,0,2,Paul W.S. Anderson,10,0,2,tomandandy,13,0,0,Glen MacPherson,55,0,1,"65,000,000.00",5.4
Jack Reacher,2012,PG-13,2.35,Tom Cruise,35,0,44,Rosamund Pike,0,1,48,Richard Jenkins,90,0,19,Christopher McQuarrie,1,1,9,Lee Child,2,0,0,Joe Kraemer,8,0,3,Caleb Deschanel,28,0,11,"60,000,000.00",7
ParaNorman,2012,PG,2.35,Kodi Smit-McPhee,13,0,14,Tucker Albrizzi,17,0,3,Anna Kendrick,0,0,5,Chris Butler,0,0,1,Chris Butler,0,0,1,Jon Brion,6,0,6,Tristan Oliver,12,0,0,"60,000,000.00",7
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,2.35,Johnny Depp,59,0,69,PenÃ©lope Cruz,0,0,3,Geoffrey Rush,48,0,6,Rob Marshall,6,0,17,Ted Elliott,36,0,3,Hans Zimmer,95,1,121,Dariusz Wolski,50,0,1,"250,000,000.00",6.6
Cars 2,2011,G,2.35,Larry the Cable Guy,15,0,6,Owen Wilson,40,0,4,Michael Caine,151,0,3,John Lasseter,19,1,36,John Lasseter,15,1,36,Michael Giacchino,23,1,80,Sharon Calahan,4,0,0,"200,000,000.00",6.1
Green Lantern,2011,PG-13,2.35,Ryan Reynolds,45,0,14,Blake Lively,0,0,3,Peter Sarsgaard,37,1,71,Martin Campbell,27,0,3,Greg Berlanti,2,0,2,James Newton Howard,92,0,68,Dion Beebe,31,1,18,"200,000,000.00",5.5
Transformers: Dark of the Moon,2011,PG-13,2.35,Shia LaBeouf,40,0,3,Rosie Huntington-Whiteley,0,0,2,Josh Duhamel,15,0,1,Michael Bay,51,0,9,Ehren Kruger,13,0,1,Steve Jablonsky,31,0,8,Amir Mokri,21,0,0,"195,000,000.00",6.2
Hugo,2011,PG,1.85,Ben Kingsley,95,0,23,Sacha Baron Cohen,26,0,23,Asa Butterfield,7,0,12,Martin Scorsese,51,1,154,John Logan,13,0,7,Howard Shore,68,3,87,Robert Richardson,38,3,19,"170,000,000.00",7.5
X-Men: First Class,2011,PG-13,2.35,James McAvoy,31,1,94,Laurence Belcher,7,0,58,Michael Fassbender,30,0,2,Matthew Vaughn,3,0,5,Ashley Miller,3,0,0,Henry Jackman,14,0,11,John Mathieson,41,0,8,"160,000,000.00",7.7
Thor,2011,PG-13,2.35,Chris Hemsworth,10,0,8,Natalie Portman,0,1,73,Tom Hiddleston,15,1,52,Kenneth Branagh,14,0,33,Ashley Miller,3,0,0,Patrick Doyle,22,0,12,Haris Zambarloukos,24,0,1,"150,000,000.00",8
Kung Fu Panda 2,2011,PG,2.35,Jack Black,104,1,47,Angelina Jolie,0,1,37,Dustin Hoffman,68,0,0,Jennifer Yuh Nelson,1,0,4,Jonathan Aibel,10,0,2,John Powell,15,0,41,Damon O'Beirne,0,0,0,"150,000,000.00",7.2
Mars Needs Moms,2011,PG,2.35,Seth Green,117,0,1,Dan Fogler,20,0,4,Joan Cusack,0,0,1,Simon Wells,5,0,0,Simon Wells,1,0,0,John Powell,15,0,41,Robert Presley,3,0,0,"150,000,000.00",5.4
Mission: Impossible - Ghost Protocol,2011,PG-13,2.35,Tom Cruise,34,0,46,Paula Patton,0,0,27,Simon Pegg,53,0,6,Brad Bird,8,2,32,Bruce Geller,19,0,3,Michael Giacchino,23,1,80,Robert Elswit,71,1,16,"145,000,000.00",7.4
Captain America: The First Avenger,2011,"PG-13",2.35,Chris Evans,28,0,5,Hayley Atwell,0,0,2,Sebastian Stan,14,0,12,Joe Johnston,12,1,1,Christopher Markus,5,0,5,Alan Silvestri,69,0,43,Shelly Johnson,57,0,0,"140,000,000.00",6.9
Rango,2016,PG,2.35,Johnny Depp,59,0,66,Isla Fisher,0,0,6,Abigail Breslin,0,1,18,Gore Verbinski,20,1,8,John Logan,13,0,7,Hans Zimmer,95,1,121,Roger Deakins,71,2,168,"135,000,000.00",8.8
Puss in Boots,2011,PG,2.35,Antonio Banderas,76,0,14,Salma Hayek,0,0,3,Zach Galifianakis,46,0,1,Chris Miller,2,1,22,Tom Wheeler,4,0,0,Henry Jackman,14,0,11,Gil Zimmerman,1,0,0,"130,000,000.00",6.6
