duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,budget,gross,Finance_Label
183,0,2000,15000,24450,0,3018,4000,197000,250000000.00,330000000.00,AVERAGE
147,94,11000,21000,64798,0,1022,19000,72000,250000000.00,407000000.00,AVERAGE
122,681,105,998,1327,4,432,119,30000,185000000.00,130000000.00,FLOP
110,282,103,11000,21175,2,239,10000,29000,180000000.00,124000000.00,FLOP
144,0,1000,34000,49684,6,622,13000,54000,178000000.00,155000000.00,FLOP
123,452,329,10000,11287,8,971,336,80000,175000000.00,161000000.00,FLOP
106,4000,591,19000,32921,0,398,13000,65000,175000000.00,363000000.00,BLOCKBUSTER
120,776,535,890,3233,0,520,812,67000,165000000.00,102000000.00,FLOP
113,33,11000,40000,80806,1,131,25000,30000,170000000.00,76846624.00,FLOP
123,0,648,3000,5505,0,781,716,89000,160000000.00,46978995.00,FLOP
110,282,103,11000,21175,2,239,10000,29000,180000000.00,124000000.00,FLOP
116,176,322,783,2097,4,1211,370,62000,144000000.00,118000000.00,FLOP
95,5,967,24000,36095,0,145,11000,24000,145000000.00,144000000.00,FLOP
126,295,284,18000,19769,4,273,934,24000,140000000.00,31141074.00,FLOP
117,14000,358,535,1950,0,106,400,27000,140000000.00,52792307.00,FLOP
120,19,9000,26000,46719,2,134,11000,16000,115000000.00,47952020.00,FLOP
120,124,943,6000,12452,3,144,5000,12000,110000000.00,66002193.00,FLOP
129,209,886,11000,23031,6,139,11000,15000,90000000.00,64685359.00,FLOP
87,11,745,1000,4782,0,155,904,36000,75000000.00,324000000.00,BLOCKBUSTER
97,6,415,22000,24350,0,126,1000,14000,73000000.00,107000000.00,AVERAGE
99,24,864,18000,20276,3,323,992,28000,60000000.00,62401264.00,HIT
108,84,361,16000,18239,0,1058,805,117000,58000000.00,363000000.00,BLOCKBUSTER
107,43,569,12000,14569,2,110,919,10000,50000000.00,126000000.00,BLOCKBUSTER
144,0,681,769,3580,0,219,726,44000,50000000.00,52822418.00,HIT
139,378,303,11000,12786,1,47,552,10000,50000000.00,20389967.00,FLOP
102,0,1000,14000,24107,4,150,8000,28000,50000000.00,28837115.00,FLOP
134,0,336,1000,2676,0,279,575,40000,40000000.00,102000000.00,BLOCKBUSTER
102,167,655,2000,5178,0,58,874,0,40000000.00,90835030.00,BLOCKBUSTER
112,5,724,17000,19974,0,266,1000,14000,38000000.00,34912982.00,FLOP
110,11,591,2000,4882,4,83,756,15000,38000000.00,46813366.00,HIT
92,89,190,17000,17860,0,111,329,0,35000000.00,55291815.00,AVERAGE
115,214,968,14000,27214,3,106,12000,0,20000000.00,12626905.00,FLOP
148,0,161,11000,11700,1,994,393,85000,245000000.00,200000000.00,FLOP
141,0,19000,26000,92000,4,1117,21000,118000,250000000.00,459000000.00,SUPER_HIT
124,365,1000,3000,8458,0,1290,2000,150000,150000000.00,652000000.00,BLOCKBUSTER
140,0,14000,26000,79150,0,657,23000,94000,190000000.00,350000000.00,SUPER_HIT
127,0,13000,17000,47334,1,720,15000,44000,176000000.00,47375327.00,FLOP
95,0,384,1000,2944,1,773,767,118000,175000000.00,356000000.00,BLOCKBUSTER
130,663,604,2000,5046,2,497,638,37000,190000000.00,93417865.00,FLOP
137,508,14000,34000,81385,1,383,22000,38000,160000000.00,282000000.00,SUPER_HIT
126,230,2000,24000,38873,2,867,10000,82000,155000000.00,89732035.00,FLOP
120,750,943,27000,40025,0,1588,9000,191000,150000000.00,154000000.00,HIT
131,188,641,10000,21840,0,440,10000,47000,150000000.00,195000000.00,AVERAGE
111,456,394,20000,21393,4,186,548,24000,150000000.00,34964818.00,FLOP
156,0,733,29000,57108,0,1188,27000,190000,135000000.00,184000000.00,AVERAGE
117,235,680,2000,5730,6,549,2000,61000,130000000.00,180000000.00,AVERAGE
94,12,183,17000,17883,0,214,523,26000,135000000.00,177000000.00,AVERAGE
100,128,78,596,1261,3,695,360,41000,120000000.00,56114221.00,FLOP
114,62,884,12000,16718,0,499,2000,52000,110000000.00,155000000.00,AVERAGE
119,124,1000,14000,22622,0,258,5000,27000,110000000.00,130000000.00,HIT
151,0,372,13000,14831,1,1023,801,153000,108000000.00,228000000.00,BLOCKBUSTER
111,456,394,20000,21393,4,186,548,24000,150000000.00,34964818.00,FLOP
114,19,848,1000,3962,1,163,897,37000,105000000.00,28772222.00,FLOP
122,2000,571,26000,28328,0,161,911,27000,100000000.00,24985612.00,FLOP
88,20,36,144,309,0,155,42,33000,99000000.00,130000000.00,AVERAGE
105,0,502,2000,4671,1,322,520,56000,95000000.00,201000000.00,BLOCKBUSTER
92,12,1000,35000,38450,0,53,1000,0,90000000.00,85884815.00,FLOP
106,0,1000,22000,35367,0,342,11000,39000,88000000.00,78747585.00,FLOP
100,128,78,596,1261,3,695,360,41000,120000000.00,56114221.00,FLOP
89,266,859,12000,26839,0,97,11000,16000,80000000.00,170000000.00,BLOCKBUSTER
106,42,612,14000,16922,0,117,788,21000,90000000.00,27356090.00,FLOP
108,54,6000,12000,30230,1,64,11000,31000,81200000.00,1339152.00,FLOP
116,0,104,15000,15735,2,360,509,43000,75000000.00,45434443.00,FLOP
91,22,1000,7000,13616,0,275,4000,70000,74000000.00,336000000.00,BLOCKBUSTER
92,5,726,870,5217,0,133,861,16000,74000000.00,162000000.00,BLOCKBUSTER
133,0,301,26000,28129,1,207,326,11000,70000000.00,7097125.00,FLOP
125,3000,3000,14000,30010,0,229,11000,30000,68000000.00,81257500.00,HIT
105,43,523,10000,11943,0,221,806,23000,50100000.00,53846915.00,HIT
121,175,221,963,2131,0,265,580,40000,55000000.00,43247140.00,FLOP
164,0,773,5000,9152,0,802,972,65000,250000000.00,255000000.00,HIT
165,0,808,974,3988,2,918,956,56000,210000000.00,245000000.00,HIT
142,464,825,15000,28631,0,1067,10000,41000,200000000.00,203000000.00,HIT
149,0,20000,34000,91434,7,752,22000,82000,200000000.00,234000000.00,HIT
113,218,509,10000,12652,1,741,854,77000,178000000.00,100000000.00,FLOP
97,171,846,11000,15516,2,634,2000,89000,180000000.00,241000000.00,AVERAGE
130,198,884,10000,14363,0,620,2000,45000,170000000.00,209000000.00,HIT
136,94,2000,19000,36188,1,742,11000,55000,170000000.00,260000000.00,AVERAGE
102,38,562,756,2963,0,433,719,41000,165000000.00,222000000.00,AVERAGE
121,571,3000,14000,32438,3,1097,14000,96000,170000000.00,333000000.00,SUPER_HIT
169,22000,6000,11000,31488,1,2725,11000,349000,165000000.00,188000000.00,HIT
92,50,517,3000,5810,2,130,1000,11000,145000000.00,112000000.00,FLOP
150,0,748,23000,26490,0,657,893,51000,140000000.00,65007045.00,FLOP
102,255,953,18000,23378,5,343,3000,46000,145000000.00,177000000.00,HIT
92,35,179,19000,19963,0,118,411,11000,132000000.00,83348920.00,FLOP
138,0,8000,12000,32355,2,1240,9000,71000,125000000.00,101000000.00,FLOP
98,189,1000,49000,53587,7,126,3000,11000,127000000.00,114000000.00,FLOP
123,508,14000,34000,81385,1,591,22000,52000,125000000.00,337000000.00,BLOCKBUSTER
101,107,56,688,1031,0,99,237,0,103000000.00,132000000.00,AVERAGE
117,294,1000,10000,14161,0,630,2000,60000,100000000.00,58607007.00,FLOP
101,473,429,833,2690,0,491,809,62000,125000000.00,191000000.00,AVERAGE
102,263,1000,6000,10583,0,523,1000,71000,110000000.00,106000000.00,FLOP
101,420,467,12000,16235,0,269,3000,21000,100000000.00,72660029.00,FLOP
131,385,11000,26000,52610,15,351,13000,56000,90000000.00,39292022.00,FLOP
102,44,766,12000,17098,4,154,3000,16000,95000000.00,17176900.00,FLOP
119,0,968,40000,54031,1,462,11000,37000,100000000.00,23014504.00,FLOP
139,168,1000,14000,22226,2,713,5000,49000,85000000.00,151000000.00,SUPER_HIT
134,452,697,11000,20411,4,701,8000,82000,68000000.00,85707116.00,AVERAGE
105,545,74,795,1099,0,308,172,20000,80000000.00,23219748.00,FLOP
101,420,467,12000,16235,0,269,3000,21000,100000000.00,72660029.00,FLOP
118,0,559,13000,27674,7,403,13000,34000,70000000.00,78031620.00,HIT
92,28,423,3000,5178,1,423,692,37000,70000000.00,55942830.00,FLOP
99,212,182,576,1520,0,202,358,12000,70000000.00,18821279.00,FLOP
132,76,464,3000,7081,1,346,3000,32000,66000000.00,43568507.00,FLOP
137,11000,465,769,2938,0,351,698,35000,65000000.00,116000000.00,SUPER_HIT
118,87,929,2000,4796,6,213,1000,16000,65000000.00,85911262.00,AVERAGE
92,72,568,623,3165,0,194,593,15000,65000000.00,19059018.00,FLOP
102,436,6000,23000,49433,3,239,13000,32000,65000000.00,13750556.00,FLOP
149,21000,625,835,4348,0,1127,812,146000,61000000.00,168000000.00,BLOCKBUSTER
105,0,288,539,1411,3,289,394,17000,60000000.00,50549107.00,FLOP
96,7,642,874,3151,3,122,668,11000,60000000.00,50807639.00,FLOP
150,563,1000,40000,45757,1,711,2000,48000,215000000.00,89289910.00,FLOP
143,0,748,15000,20495,0,2536,3000,118000,225000000.00,291000000.00,AVERAGE
186,0,773,5000,9152,6,951,972,83000,225000000.00,258000000.00,HIT
195,1000,3000,21000,30426,3,1187,4000,95000,200000000.00,409000000.00,BLOCKBUSTER
104,37,760,12000,14863,0,265,779,44000,200000000.00,268000000.00,AVERAGE
130,0,11000,44000,73441,4,511,15000,60000,215000000.00,235000000.00,HIT
123,395,1000,17000,32392,0,995,11000,129000,190000000.00,202000000.00,HIT
132,14000,928,19000,21411,0,1171,981,92000,190000000.00,229000000.00,HIT
114,0,140,979,1766,1,205,557,22000,195000000.00,65171860.00,FLOP
143,1000,77,29000,29770,4,753,509,115000,105000000.00,145000000.00,AVERAGE
131,0,919,16000,19166,0,1106,968,83000,190000000.00,102000000.00,FLOP
128,47,982,18000,20965,2,324,1000,35000,175000000.00,38297305.00,FLOP
102,69,490,1000,2582,0,904,523,58000,150000000.00,401000000.00,BLOCKBUSTER
112,230,12000,26000,59803,3,532,20000,63000,170000000.00,206000000.00,HIT
131,776,256,17000,18204,2,434,551,33000,150000000.00,73103784.00,FLOP
122,209,934,17000,31958,6,288,12000,42000,130000000.00,123000000.00,FLOP
96,13,463,16000,17416,0,90,881,13000,135000000.00,83024900.00,FLOP
146,508,523,34000,49355,1,706,14000,82000,130000000.00,425000000.00,BLOCKBUSTER
100,0,894,10000,14168,0,744,943,37000,130000000.00,60522097.00,FLOP
96,124,1000,16000,31549,2,210,12000,20000,130000000.00,33592415.00,FLOP
109,662,1000,13000,17689,0,814,2000,61000,115000000.00,93050117.00,FLOP
124,364,1000,11000,22004,0,892,10000,71000,120000000.00,89021735.00,FLOP
138,446,929,20000,23755,1,533,992,68000,120000000.00,133000000.00,HIT
98,16,12000,16000,43286,3,195,15000,28000,135000000.00,187000000.00,AVERAGE
91,0,13,39,87,0,1885,23,147000,100000000.00,274000000.00,BLOCKBUSTER
105,67,40,681,914,3,59,71,0,105000000.00,71017784.00,FLOP
114,151,430,11000,12908,4,554,635,123000,110000000.00,61656849.00,FLOP
102,77,120,14000,14552,2,113,151,17000,100000000.00,108000000.00,HIT
240,17000,4000,29000,46057,3,1138,11000,138000,100000000.00,117000000.00,HIT
101,212,476,13000,15481,2,503,787,66000,92000000.00,67344392.00,FLOP
114,0,423,3000,5095,1,515,806,70000,90000000.00,58229120.00,FLOP
106,87,918,8000,10882,0,204,956,28000,90000000.00,68558662.00,FLOP
116,23,110,13000,25220,7,205,12000,22000,84000000.00,53215979.00,FLOP
101,221,11000,12000,39269,4,255,11000,14000,80000000.00,134000000.00,AVERAGE
87,43,210,882,1971,0,66,396,0,80000000.00,36073232.00,FLOP
95,18,18,622,848,0,85,161,15000,78000000.00,120000000.00,AVERAGE
98,275,1000,7000,11905,0,284,2000,56000,76000000.00,368000000.00,BLOCKBUSTER
125,255,963,11000,13312,6,629,988,105000,75000000.00,118000000.00,AVERAGE
119,845,992,18000,31782,3,698,11000,45000,70000000.00,98895417.00,AVERAGE
88,6,854,2000,6946,1,54,1000,5000,70000000.00,8460990.00,FLOP
115,101,585,13000,15708,1,279,1000,34000,50000000.00,25121291.00,FLOP
164,22000,23000,27000,106759,0,2701,23000,164000,250000000.00,448000000.00,SUPER_HIT
132,475,530,640,1873,1,738,632,24000,264000000.00,73058679.00,FLOP
173,0,19000,26000,87697,3,1722,21000,123000,220000000.00,623000000.00,BLOCKBUSTER
106,188,718,10000,12572,1,341,816,40000,225000000.00,179000000.00,FLOP
153,464,963,15000,28489,0,1225,10000,56000,230000000.00,262000000.00,HIT
131,532,627,14000,26679,0,751,10000,44000,209000000.00,65173160.00,FLOP
143,0,393,883,2039,0,1498,563,80000,200000000.00,304000000.00,AVERAGE
93,56,838,2000,5005,0,428,1000,39000,185000000.00,237000000.00,AVERAGE
132,274,11000,26000,72881,0,710,17000,53000,170000000.00,155000000.00,FLOP
101,66,833,975,4451,1,345,931,40000,165000000.00,189000000.00,HIT
99,473,502,14000,16184,0,253,897,19000,150000000.00,83640426.00,FLOP
113,13000,16000,40000,80849,7,479,17000,82000,100000000.00,79711678.00,FLOP
93,35,436,851,2444,0,154,770,17000,145000000.00,216000000.00,AVERAGE
97,52,161,20000,20645,0,174,315,25000,145000000.00,103000000.00,FLOP
115,386,12000,21000,59177,3,329,17000,65000,120000000.00,292000000.00,BLOCKBUSTER
115,386,12000,21000,59177,3,329,17000,65000,120000000.00,292000000.00,BLOCKBUSTER
135,209,602,10000,12175,0,504,826,31000,125000000.00,113000000.00,FLOP
127,0,341,774,2121,0,755,358,122000,120000000.00,125000000.00,HIT
124,0,641,13000,24098,0,2326,9000,97000,130000000.00,126000000.00,FLOP
165,16000,265,29000,40978,1,1193,11000,199000,100000000.00,163000000.00,AVERAGE
103,165,13000,26000,57881,3,474,13000,108000,92000000.00,85017401.00,FLOP
172,670,1000,15000,22686,5,828,5000,124000,102000000.00,27098580.00,FLOP
85,116,329,8000,9271,0,177,331,18000,95000000.00,86897182.00,FLOP
88,20,916,22000,25354,0,139,1000,14000,95000000.00,161000000.00,AVERAGE
91,266,11000,12000,37142,2,168,11000,28000,85000000.00,148000000.00,AVERAGE
115,79,820,18000,36237,1,276,16000,19000,85000000.00,126000000.00,AVERAGE
106,763,809,8000,11454,1,208,886,18000,85000000.00,64933670.00,FLOP
95,38,20,409,578,0,588,107,46000,35000000.00,13401683.00,FLOP
142,378,575,34000,49942,0,1959,14000,140000,78000000.00,408000000.00,BLOCKBUSTER
94,62,722,14000,27842,3,133,12000,0,79000000.00,104000000.00,AVERAGE
88,24,324,5000,5861,1,271,327,24000,70000000.00,62321039.00,FLOP
136,163,66,394,712,7,356,217,33000,75000000.00,38509342.00,FLOP
105,335,911,3000,8281,0,348,3000,98000,69000000.00,37516013.00,FLOP
150,14000,655,23000,25517,0,720,826,71000,65000000.00,182000000.00,BLOCKBUSTER
158,0,11000,20000,46204,1,845,13000,144000,61000000.00,149000000.00,BLOCKBUSTER
99,119,174,600,1375,0,310,346,59000,65000000.00,59617068.00,FLOP
103,368,520,27000,29808,3,238,1000,18000,65000000.00,54758461.00,FLOP
96,545,974,14000,17913,0,423,1000,32000,65000000.00,42345531.00,FLOP
130,188,1000,10000,16385,2,448,3000,38000,60000000.00,80033643.00,AVERAGE
92,28,586,10000,13597,0,176,884,12000,60000000.00,55994557.00,FLOP
136,252,1000,40000,54083,4,484,11000,58000,250000000.00,241000000.00,FLOP
106,487,776,1000,4482,0,283,919,10000,200000000.00,191000000.00,FLOP
123,258,326,16000,17657,2,550,368,24000,200000000.00,117000000.00,FLOP
154,0,581,894,2593,2,899,829,46000,195000000.00,352000000.00,SUPER_HIT
126,17000,1000,17000,36017,0,678,16000,42000,170000000.00,73820094.00,FLOP
132,905,1000,34000,50983,3,698,13000,54000,160000000.00,146000000.00,FLOP
115,0,12000,26000,60059,1,738,20000,63000,150000000.00,181000000.00,HIT
90,90,15,11000,21015,0,209,10000,20000,150000000.00,165000000.00,HIT
88,25,433,921,2652,0,112,562,0,150000000.00,21379315.00,FLOP
133,663,690,10000,21768,3,512,10000,35000,145000000.00,209000000.00,AVERAGE
124,394,2000,11000,19761,0,679,3000,46000,140000000.00,177000000.00,AVERAGE
100,750,988,49000,62644,0,79,11000,0,135000000.00,63992328.00,FLOP
107,563,939,40000,43291,0,337,1000,26000,135000000.00,123000000.00,FLOP
90,50,397,4000,5046,0,137,442,16000,130000000.00,149000000.00,HIT
107,14000,845,2000,4631,1,447,871,44000,135000000.00,77564037.00,FLOP
132,681,12000,23000,55345,3,366,14000,54000,125000000.00,210000000.00,AVERAGE
129,0,154,21000,22403,2,412,979,39000,125000000.00,187000000.00,AVERAGE
119,1000,741,11000,13391,0,443,1000,14000,120000000.00,98780042.00,FLOP
103,67,111,383,692,3,153,113,31000,110000000.00,143000000.00,AVERAGE
127,189,544,20000,22254,1,426,929,36000,110000000.00,85463309.00,FLOP
146,611,28,23000,23240,2,130,196,13000,94000000.00,9213.00,FLOP
105,81,779,11000,13118,0,646,1000,47000,93000000.00,177000000.00,SUPER_HIT
158,21000,585,18000,20388,1,632,1000,54000,90000000.00,103000000.00,HIT
96,107,350,11000,12071,0,186,560,19000,90000000.00,144000000.00,AVERAGE
110,545,5000,14000,27694,8,254,8000,19000,75000000.00,20315324.00,FLOP
104,420,535,2000,3768,5,194,906,0,75000000.00,78009155.00,HIT
97,6,561,1000,2707,1,78,579,0,100000000.00,46440491.00,FLOP
102,480,461,14000,16143,0,402,670,56000,80000000.00,254000000.00,BLOCKBUSTER
87,31,733,1000,4073,0,56,1000,0,75000000.00,133000000.00,SUPER_HIT
117,221,503,11000,16325,1,203,3000,19000,80000000.00,103000000.00,AVERAGE
102,153,269,3000,5392,1,127,1000,0,80000000.00,80360866.00,HIT
91,221,553,14000,27405,2,264,11000,0,79000000.00,74158157.00,FLOP
110,763,222,15000,16691,1,405,1000,30000,75000000.00,83503161.00,HIT
128,0,826,4000,7067,4,918,2000,42000,82000000.00,36381716.00,FLOP
116,473,464,833,4001,0,800,697,25000,70000000.00,83552429.00,HIT
146,14000,979,25000,46726,1,488,19000,28000,66000000.00,79883359.00,HIT
111,2000,244,17000,18510,2,141,1000,0,70000000.00,48430355.00,FLOP
116,5,748,26000,49608,2,157,22000,17000,35000000.00,25093607.00,FLOP
111,101,681,966,3393,3,143,919,10000,36000000.00,45045037.00,HIT
95,25,439,989,2558,0,82,664,0,63000000.00,108000000.00,AVERAGE
100,15,284,799,2036,1,387,553,29000,260000000.00,201000000.00,FLOP
156,0,738,891,3244,0,546,882,17000,200000000.00,105000000.00,FLOP
108,13000,11000,40000,79957,0,736,25000,24000,200000000.00,334000000.00,AVERAGE
125,364,1000,12000,25550,0,665,10000,30000,170000000.00,172000000.00,HIT
103,125,721,15000,19085,3,733,1000,30000,200000000.00,415000000.00,BLOCKBUSTER
116,179,236,15000,16149,2,453,567,23000,200000000.00,90755643.00,FLOP
124,4000,4000,21000,48638,4,723,19000,18000,200000000.00,312000000.00,AVERAGE
93,31,213,4000,4628,2,173,225,0,165000000.00,238000000.00,AVERAGE
98,255,759,18000,20453,0,492,953,33000,165000000.00,217000000.00,AVERAGE
148,22000,23000,29000,81115,0,2803,27000,175000,160000000.00,293000000.00,SUPER_HIT
109,226,370,12000,13388,0,238,418,11000,150000000.00,63143812.00,FLOP
113,150,59,531,764,4,227,82,11000,155000000.00,104000000.00,FLOP
119,394,162,12000,13071,0,432,490,0,150000000.00,61937495.00,FLOP
103,0,346,1000,2857,0,1382,756,18000,150000000.00,132000000.00,FLOP
101,176,282,11000,12406,1,514,702,23000,110000000.00,118000000.00,HIT
95,96,8000,24000,46120,3,187,11000,13000,130000000.00,148000000.00,HIT
106,255,850,14000,18003,0,637,1000,15000,125000000.00,163000000.00,AVERAGE
121,274,157,273,993,4,196,216,0,120000000.00,30212620.00,FLOP
117,446,877,10000,12731,0,348,973,11000,117000000.00,76418654.00,FLOP
85,11,116,480,1173,1,121,392,0,112000000.00,42776259.00,FLOP
98,80,708,22000,24082,10,152,713,0,100000000.00,148000000.00,AVERAGE
116,285,107,12000,20233,2,316,8000,16000,100000000.00,119000000.00,HIT
103,207,3000,40000,55175,0,374,11000,25000,100000000.00,67631157.00,FLOP
101,0,577,2000,4286,1,160,653,16000,80000000.00,55673333.00,FLOP
115,521,95,13000,13761,1,261,537,0,100000000.00,35024475.00,FLOP
146,127,722,962,4555,4,293,740,0,100000000.00,95328937.00,FLOP
118,0,1000,8000,14024,0,419,3000,9000,95000000.00,88761720.00,FLOP
98,12000,1000,18000,25780,1,326,3000,18000,100000000.00,81557479.00,FLOP
110,96,554,887,2728,0,24,886,788,90000000.00,190562.00,FLOP
112,1000,719,10000,12687,0,522,1000,36000,60000000.00,31494270.00,FLOP
82,62,615,975,3326,0,63,760,0,85000000.00,43575716.00,FLOP
113,13000,5000,26000,46355,9,741,13000,57000,80000000.00,103000000.00,AVERAGE
138,17000,163,29000,29585,0,964,223,53000,80000000.00,128000000.00,AVERAGE
118,117,10000,18000,44797,0,560,15000,20000,80000000.00,94822707.00,HIT
80,40,375,3000,4394,0,100,642,0,80000000.00,100000000.00,HIT
102,221,4000,12000,28497,4,311,11000,12000,80000000.00,162000000.00,BLOCKBUSTER
100,126,925,19000,25206,2,120,1000,0,75000000.00,47000485.00,FLOP
136,0,17,903,1579,2,245,592,13000,70000000.00,52474616.00,FLOP
124,171,10000,21000,52547,3,498,17000,29000,68000000.00,301000000.00,BLOCKBUSTER
87,275,975,7000,11608,0,296,2000,31000,69000000.00,252000000.00,BLOCKBUSTER
178,0,855,1000,4834,0,3054,936,33000,237000000.00,761000000.00,BLOCKBUSTER
153,282,10000,25000,58753,3,973,11000,10000,250000000.00,302000000.00,HIT
150,0,464,894,3218,0,1439,581,0,200000000.00,402000000.00,BLOCKBUSTER
118,368,988,23000,27468,0,974,3000,0,200000000.00,125000000.00,FLOP
158,776,310,1000,2144,0,1055,468,13000,200000000.00,166000000.00,FLOP
96,0,10000,18000,48878,0,249,14000,0,200000000.00,138000000.00,FLOP
96,0,262,1000,2635,1,704,848,27000,175000000.00,293000000.00,AVERAGE
94,11,459,1000,2579,2,187,973,0,175000000.00,198000000.00,HIT
118,208,570,23000,26683,4,534,2000,0,175000000.00,150000000.00,FLOP
105,189,1000,49000,54039,2,209,3000,2000,150000000.00,177000000.00,HIT
119,151,2000,20000,40054,0,641,16000,0,150000000.00,180000000.00,HIT
146,2000,294,15000,16948,2,435,745,0,150000000.00,133000000.00,FLOP
88,12,182,730,2217,0,90,607,0,150000000.00,119000000.00,FLOP
127,14000,981,26000,39284,0,1559,12000,19000,150000000.00,258000000.00,AVERAGE
215,0,413,986,2530,1,1229,745,18000,130000000.00,108000000.00,FLOP
97,63,525,852,2480,0,214,578,5000,105000000.00,104000000.00,FLOP
140,0,1000,40000,64599,1,585,23000,0,100000000.00,97030725.00,FLOP
106,12000,385,18000,19906,1,285,464,0,100000000.00,65452312.00,FLOP
101,0,279,925,1738,0,388,468,11000,100000000.00,77222184.00,FLOP
102,52,526,8000,10552,1,224,735,0,100000000.00,49392095.00,FLOP
135,0,310,873,2370,1,593,560,16000,65000000.00,43982842.00,FLOP
90,97,56,622,1227,1,156,526,0,100000000.00,125000000.00,HIT
94,107,117,835,1258,0,132,256,0,90000000.00,197000000.00,BLOCKBUSTER
128,0,727,21000,23996,3,621,979,20000,90000000.00,209000000.00,BLOCKBUSTER
120,278,963,11000,15226,2,214,2000,0,85000000.00,113000000.00,AVERAGE
89,84,1000,13000,18132,5,252,1000,0,80000000.00,38542418.00,FLOP
118,252,30,529,619,4,232,48,0,80000000.00,19673424.00,FLOP
104,63,7,67,152,0,42,63,0,40000000.00,19406406.00,FLOP
100,87,446,3000,5174,4,57,576,1000,35000000.00,73023275.00,BLOCKBUSTER
153,0,130,11000,11852,1,301,561,0,75000000.00,51814190.00,FLOP
153,16000,11000,13000,36741,1,1527,11000,42000,75000000.00,121000000.00,AVERAGE
88,84,1000,1000,5227,0,98,1000,2000,75000000.00,220000000.00,BLOCKBUSTER
141,448,334,614,1829,2,172,451,29000,70000000.00,617840.00,FLOP
94,42,668,12000,23365,1,77,9000,0,65000000.00,19548064.00,FLOP
113,0,721,4000,8172,6,144,722,0,60000000.00,109000000.00,SUPER_HIT
111,197,6,433,679,0,223,208,0,60000000.00,71844424.00,HIT
100,253,57,309,647,1,279,229,10000,60000000.00,75280058.00,HIT
100,11000,485,10000,12258,2,203,1000,0,60000000.00,43337279.00,FLOP
134,16000,204,13000,24458,1,259,11000,23000,60000000.00,37479778.00,FLOP
