Movie_Title,Movie_years,Content_Ratio,Aspect_Ratio,Movie_actor_1_name,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_name,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_name,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_names,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_names,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_name,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
Batman v Superman: Dawn of Justice,2016,PG-13,2.35,Ben Affleck,58,0,1,Henry Cavill,17,0,1,Amy Adams,0,0,0,Zack Snyder,18,0,3,Chris Terrio,3.0,1.0,17.0,Junkie XL,25.0,0.0,7.0,Larry Fong,21.0,0.0,0.0,"250,000,000.00",6.4,CLASS-1
Captain America: Civil War,2016,PG-13,2.35,Chris Evans,42,0,35,Robert Downey Jr.,83,0,38,Scarlett Johansson,0,0,5,Anthony Russo,18,0,3,Christopher Markus,9.0,0.0,5.0,Henry Jackman,17.0,0.0,11.0,Trent Opaloch,13.0,0.0,0.0,"250,000,000.00",7.8,CLASS-1
Star Trek Beyond,2016,PG-13,2.35,Chris Pine,39,0,1,Zachary Quinto,46,0,0,Karl Urban,38,0,0,Justin Lin,16,0,3,Simon Pegg,21.0,0.0,11.0,Michael Giacchino,37.0,1.0,80.0,Stephen F. Windon,39.0,0.0,3.0,"185,000,000.00",7.1,CLASS-1
The Legend of Tarzan,2016,PG-13,2.35,Alexander SkarsgÃ¥rd,46,2,73,Rory J. Saper,1,0,9,Christian Stevens,0,0,0,David Yates,21,0,14,Adam Cozad,1.0,0.0,0.0,Rupert Gregson-Williams,24.0,0.0,12.0,Henry Braham,24.0,0.0,1.0,"180,000,000.00",6.2,CLASS-1
X-Men: Apocalypse,2016,PG-13,2.35,James McAvoy,43,1,106,Michael Fassbender,47,0,67,Jennifer Lawrence,0,0,6,Bryan Singer,14,0,15,Simon Kinberg,10.0,0.0,4.0,John Ottman,33.0,1.0,8.0,Newton Thomas Sigel,63.0,0.0,5.0,"178,000,000.00",6.9,CLASS-1
Suicide Squad,2016,PG-13,2.35,Will Smith,65,0,54,Jaime FitzSimons,4,0,5,Ike Barinholtz,34,0,0,David Ayer,8,0,0,David Ayer,9.0,0.0,0.0,Steven Price,40.0,1.0,19.0,Roman Vasyanov,13.0,0.0,2.0,"175,000,000.00",6.0,CLASS-1
The Jungle Book,2016,PG,1.85,Neel Sethi,2,0,53,Bill Murray,81,0,45,Ben Kingsley,120,0,14,Jon Favreau,17,0,3,Justin Marks,6.0,0.0,0.0,John Debney,100.0,0.0,32.0,Bill Pope,48.0,0.0,3.0,"175,000,000.00",7.4,CLASS-1
Independence Day: Resurgence,2016,PG-13,2.35,Liam Hemsworth,21,0,5,Jeff Goldblum,110,0,5,Jessie T. Usher,15,0,4,Roland Emmerich,18,0,15,Nicolas Wright,3.0,0.0,1.0,Harald Kloser,6.0,0.0,3.0,Markus FÃ¶rderer,16.0,0.0,4.0,"165,000,000.00",5.2,CLASS-1
Alice Through the Looking Glass,2016,PG,1.85,Johnny Depp,76,0,67,Mia Wasikowska,0,0,13,Helena Bonham Carter,0,1,56,James Bobin,12,0,2,Linda Woolverton,33.0,0.0,1.0,Danny Elfman,95.0,0.0,80.0,Stuart Dryburgh,45.0,0.0,10.0,"170,000,000.00",6.2,CLASS-1
Warcraft,2016,PG-13,2.35,Travis Fimmel,20,0,2,Paula Patton,0,0,6,Ben Foster,44,0,11,Duncan Jones,4,0,15,Charles Leavitt,8.0,0.0,0.0,Ramin Djawadi,22.0,0.0,22.0,Simon Duggan,12.0,0.0,5.0,"160,000,000.00",6.8,CLASS-1
The Legend of Tarzan,2016,PG-13,2.35,Alexander SkarsgÃ¥rd,46,2,73,Rory J. Saper,1,0,8,Christian Stevens,0,0,0,David Yates,21,0,7,Adam Cozad,1.0,0.0,0.0,Rupert Gregson-Williams,24.0,0.0,14.0,Henry Braham,24.0,0.0,1.0,"180,000,000.00",6.2,CLASS-1
Kung Fu Panda 3,2016,PG,2.35,Jack Black,139,1,48,Bryan Cranston,137,1,47,Dustin Hoffman,78,0,1,Alessandro Carloni,1,0,0,Jonathan Aibel,13.0,0.0,1.0,Hans Zimmer,116.0,1.0,121.0,Clare Knight,0.0,0.0,0.0,"145,000,000.00",7.1,CLASS-1
Gods of Egypt,2016,PG-13,2.35,Brenton Thwaites,14,0,4,John Samaha,39,0,0,Courtney Eaton,0,0,0,Alex Proyas,28,0,7,Matt Sazama,2.0,0.0,0.0,Marco Beltrami,51.0,0.0,18.0,Peter Menzies Jr.,28.0,0.0,0.0,"140,000,000.00",5.4,CLASS-1
The BFG,2016,PG,2.35,Mark Rylance,26,1,17,Ruby Barnhill,0,0,2,Penelope Wilton,0,0,7,Steven Spielberg,56,3,148,Melissa Mathison,10.0,0.0,3.0,John Williams,248.0,5.0,184.0,Janusz Kaminski,43.0,2.0,36.0,"140,000,000.00",6.4,CLASS-1
Jason Bourne,2016,PG-13,2.35,Matt Damon,73,1,27,Tommy Lee Jones,76,0,7,Alicia Vikander,0,0,2,Paul Greengrass,17,0,38,Paul Greengrass,9.0,0.0,38.0,David Buckley,16.0,0.0,1.0,Barry Ackroyd,75.0,0.0,13.0,"120,000,000.00",6.6,CLASS-1
The Huntsman: Winter's War,2016,PG-13,2.35,Chris Hemsworth,24,0,8,Charlize Theron,0,0,3,Jessica Chastain,0,0,0,Cedric Nicolas-Troyan,3,0,0,Evan Spiliotopoulos,19.0,0.0,1.0,James Newton Howard,99.0,0.0,68.0,Phedon Papamichael,57.0,0.0,10.0,"115,000,000.00",6.1,CLASS-1
Allegiant,2016,PG-13,2.35,Shailene Woodley,0,0,51,Theo James,13,0,3,Naomi Watts,0,1,51,Robert Schwentke,10,0,15,Noah Oppenheim,1.0,0.0,2.0,Joseph Trapanese,47.0,0.0,2.0,Florian Ballhaus,34.0,0.0,1.0,"110,000,000.00",5.7,CLASS-1
Now You See Me 2,2016,PG-13,2.35,Jesse Eisenberg,34,0,15,Mark Ruffalo,59,1,54,Woody Harrelson,80,0,7,Jon M. Chu,16,0,2,Ed Solomon,17.0,0.0,1.0,Brian Tyler,67.0,0.0,16.0,Peter Deming,50.0,0.0,2.0,"90,000,000.00",6.5,CLASS-1
The Secret Life of Pets,2016,PG,1.85,Louis C.K.,30,0,12,Eric Stonestreet,43,0,5,Kevin Hart,63,0,23,Yarrow Cheney,2,0,1,Cinco Paul,16.0,0.0,1.0,Alexandre Desplat,67.0,2.0,99.0,Ken Schretzmann,0.0,0.0,1.0,"75,000,000.00",6.5,CLASS-1
The Angry Birds Movie,2019,PG,1.85,Jason Sudeikis,44,0,20,Josh Gad,47,0,7,Danny McBride,35,0,2,Clay Kaytis,2,0,0,Jon Vitti,13.0,0.0,3.0,Heitor Pereira,89.0,0.0,6.0,Kent Beyda,0.0,0.0,0.0,"73,000,000.00",6.4,CLASS-1
London Has Fallen,2016,R,2.35,Alon Aboutboul,81,0,4,Waleed Zuaiter,31,0,19,Adel Bencherif,31,0,2,Babak Najafi,12,0,5,Creighton Rothenberger,2.0,0.0,0.0,Trevor Morris,32.0,0.0,6.0,Ed Wild,26.0,0.0,1.0,"60,000,000.00",5.9,CLASS-1
Deadpool,2018,R,2.35,Ryan Reynolds,60,0,14,Karan Soni,31,0,2,Ed Skrein,11,0,0,Tim Miller,4,0,2,Rhett Reese,13.0,0.0,2.0,Junkie XL,25.0,0.0,7.0,Ken Seng,31.0,0.0,0.0,"58,000,000.00",7.7,CLASS-1
Central Intelligence,2016,PG-13,2.35,Dwayne Johnson,60,0,11,Kevin Hart,63,0,5,Amy Ryan,0,0,1,Rawson Marshall Thurber,10,0,0,Ike Barinholtz,1.0,0.0,0.0,Ludwig GÃ¶ransson,10.0,1.0,8.0,Barry Peterson,17.0,0.0,0.0,"50,000,000.00",6.3,CLASS-1
13 Hours,2016,R,2.35,John Krasinski,38,0,0,James Badge Dale,32,0,2,Pablo Schreiber,49,0,0,Michael Bay,54,0,9,Chuck Hogan,2.0,0.0,0.0,Lorne Balfe,70.0,0.0,8.0,Dion Beebe,40.0,1.0,18.0,"50,000,000.00",7.3,CLASS-1
Free State of Jones,2016,R,1.85,Matthew McConaughey,58,1,42,Gugu Mbatha-Raw,0,0,0,Mahershala Ali,30,0,1,Gary Ross,4,0,8,Gary Ross,10.0,0.0,8.0,Nicholas Britell,4.0,0.0,26.0,BenoÃ®t Delhomme,57.0,0.0,4.0,"50,000,000.00",6.9,CLASS-1
Zoolander 2,2016,PG-13,2.35,Justin Bieber,49,0,3,Jon Daly,74,0,12,PenÃ©lope Cruz,0,0,1,Ben Stiller,15,0,14,Justin Theroux,5.0,0.0,3.0,Theodore Shapiro,11.0,0.0,15.0,Dan Mindel,21.0,0.0,0.0,"50,000,000.00",4.7,CLASS-1
The Conjuring 2,2016,R,2.35,Patrick Wilson,39,0,4,Vera Farmiga,0,0,6,Madison Wolfe,0,0,7,James Wan,10,0,1,Chad Hayes,22.0,0.0,0.0,Joseph Bishara,7.0,0.0,2.0,Don Burgess,48.0,0.0,0.0,"40,000,000.00",7.3,CLASS-1
The 5th Wave,2016,PG-13,2.35,ChloÃ« Grace Moretz,0,0,20,Matthew Zuk,8,0,0,Gabriela Lopez,0,0,3,J Blakeson,3,0,1,Susannah Grant,11.0,0.0,4.0,Henry Jackman,17.0,0.0,11.0,Enrique Chediak,37.0,0.0,7.0,"38,000,000.00",5.2,CLASS-1
How to Be Single,2016,R,2.35,Dakota Johnson,0,0,8,Rebel Wilson,0,0,0,Leslie Mann,0,0,3,Christian Ditter,13,0,11,Abby Kohn,8.0,0.0,1.0,Fil Eisler,9.0,0.0,3.0,Christian Rein,30.0,0.0,2.0,"38,000,000.00",6.1,CLASS-1
Neighbors 2: Sorority Rising,2016,R,2.35,Seth Rogen,70,0,20,Zac Efron,44,0,0,Rose Byrne,0,0,3,Nicholas Stoller,5,0,2,Andrew Jay Cohen,5.0,0.0,0.0,Michael Andrews,9.0,0.0,3.0,Brandon Trost,79.0,0.0,2.0,"35,000,000.00",5.7,CLASS-1
Triple 9,2016,R,2.35,Chiwetel Ejiofor,41,1,82,Casey Affleck,32,0,4,Anthony Mackie,47,0,5,John Hillcoat,44,0,4,Matt Cook,0.0,0.0,0.0,The Haxan Cloak,3.0,0.0,1.0,Nicolas Karakatsanis,49.0,0.0,6.0,"20,000,000.00",6.3,CLASS-1
Spectre,2015,PG-13,2.35,Daniel Craig,61,2,73,Christoph Waltz,105,0,3,LÃ©a Seydoux,0,0,0,Sam Mendes,8,1,55,John Logan,19.0,0.0,7.0,Thomas Newman,57.0,0.0,65.0,Hoyte Van Hoytema,20.0,0.0,16.0,"245,000,000.00",6.8,CLASS-1
Avengers: Age of Ultron,2015,PG-13,2.35,Robert Downey Jr.,82,0,9,Chris Hemsworth,20,0,34,Mark Ruffalo,57,0,47,Joss Whedon,16,0,25,Joss Whedon,25.0,0.0,25.0,Danny Elfman,93.0,0.0,80.0,Ben Davis,0.0,0.0,0.0,"250,000,000.00",7.3,CLASS-1
Jurassic World,2015,PG-13,2.0,Chris Pratt,35,0,17,Bryce Dallas Howard,0,0,0,Irrfan Khan,128,0,6,Colin Trevorrow,4,0,7,Rick Jaffa,4.0,0.0,1.0,Michael Giacchino,31.0,1.0,80.0,John Schwartzman,33.0,0.0,1.0,"150,000,000.00",7.0,CLASS-1
Furious 7,2015,PG-13,2.35,Vin Diesel,29,0,1,Paul Walker,42,0,6,Jason Statham,41,0,6,James Wan,9,0,14,Chris Morgan,8.0,0.0,0.0,Brian Tyler,64.0,0.0,16.0,Marc Spicer,5.0,0.0,1.0,"190,000,000.00",7.1,CLASS-1
Jupiter Ascending,2015,PG-13,2.35,Mila Kunis,0,0,17,Channing Tatum,43,0,12,Sean Bean,90,0,21,Lana Wachowski,9,0,12,Lilly Wachowski,17.0,0.0,11.0,Michael Giacchino,31.0,1.0,80.0,John Toll,32.0,2.0,16.0,"176,000,000.00",5.3,CLASS-1
Inside Out,2015,PG,1.85,Amy Poehler,0,0,24,Phyllis Smith,0,0,10,Richard Kind,177,0,5,Pete Docter,8,2,46,Pete Docter,11.0,2.0,46.0,Michael Giacchino,31.0,1.0,80.0,Kevin Nolting,0.0,0.0,3.0,"175,000,000.00",8.1,CLASS-1
Tomorrowland,2015,PG,2.2,George Clooney,82,0,10,Hugh Laurie,96,0,1,Britt Robertson,0,0,0,Brad Bird,9,2,32,Damon Lindelof,12.0,0.0,17.0,Michael Giacchino,31.0,1.0,80.0,Claudio Miranda,20.0,1.0,24.0,"190,000,000.00",6.4,CLASS-1
The Hunger Games: Mockingjay - Part 2,2015,PG-13,2.35,Jennifer Lawrence,0,1,104,Josh Hutcherson,38,1,79,Liam Hemsworth,17,0,17,Francis Lawrence,80,0,5,Peter Craig,2.0,0.0,0.0,James Newton Howard,98.0,0.0,68.0,Jo Willems,29.0,0.0,1.0,"160,000,000.00",6.6,CLASS-1
Terminator Genisys,2015,PG-13,2.35,Arnold Schwarzenegger,61,1,48,Jason Clarke,54,0,8,Emilia Clarke,0,0,5,Alan Taylor,31,0,8,Laeta Kalogridis,5.0,0.0,1.0,Lorne Balfe,69.0,0.0,8.0,Kramer Morgenthau,58.0,0.0,2.0,"155,000,000.00",6.3,CLASS-1
Mad Max: Fury Road,2015,R,2.35,Tom Hardy,43,0,15,Charlize Theron,0,0,57,Nicholas Hoult,34,0,3,George Miller,18,1,71,George Miller,14.0,1.0,71.0,Junkie XL,22.0,0.0,7.0,John Seale,44.0,1.0,36.0,"150,000,000.00",8.1,CLASS-1
Mission: Impossible - Rogue Nation,2015,PG-13,2.35,Tom Cruise,39,0,46,Jeremy Renner,46,0,27,Simon Pegg,76,0,3,Christopher McQuarrie,2,1,9,Christopher McQuarrie,10.0,1.0,9.0,Joe Kraemer,10.0,0.0,3.0,Robert Elswit,75.0,1.0,16.0,"150,000,000.00",7.4,CLASS-1
Pan,2015,PG,2.35,Hugh Jackman,43,0,26,Levi Miller,4,0,3,Garrett Hedlund,16,0,0,Joe Wright,14,0,11,Jason Fuchs,4.0,0.0,5.0,John Powell,17.0,0.0,41.0,John Mathieson,51.0,0.0,8.0,"150,000,000.00",8.5,CLASS-1
The Revenant,2015,R,2.35,Leonardo DiCaprio,46,1,87,Tom Hardy,43,0,14,Domhnall Gleeson,28,0,6,Alejandro G. IÃƒÂ±ÃƒÂ¡rritu,14,4,120,Mark L. Smith,4.0,0.0,1.0,Alva Noto,0.0,0.0,1.0,Emmanuel Lubezki,38.0,3.0,144.0,"135,000,000.00",8.0,CLASS-1
Ant-Man,2015,PG-13,1.85,Paul Rudd,92,0,0,Michael Douglas,72,0,0,Evangeline Lilly,0,0,6,Peyton Reed,23,0,2,Edgar Wright,21.0,0.0,14.0,Christophe Beck,22.0,0.0,5.0,Russell Carpenter,45.0,1.0,7.0,"130,000,000.00",7.3,CLASS-1
Home,2011,PG,1.85,Jim Parsons,29,0,22,Rihanna,0,0,2,Steve Martin,60,0,1,Tim Johnson,5,0,6,Tom J. Astle,17.0,0.0,1.0,Lorne Balfe,69.0,0.0,8.0,Nick Fletcher,0.0,0.0,0.0,"135,000,000.00",8.3,CLASS-1
Fantastic Four,2015,PG-13,2.35,Miles Teller,17,0,78,Michael B. Jordan,29,0,0,Kate Mara,0,0,1,Josh Trank,5,0,1,Jeremy Slater,0.0,0.0,1.0,Marco Beltrami,47.0,0.0,18.0,Matthew Jensen,24.0,0.0,1.0,"120,000,000.00",4.3,CLASS-1
San Andreas,2015,PG-13,2.35,Dwayne Johnson,55,0,12,Carla Gugino,0,0,2,Alexandra Daddario,0,0,6,Brad Peyton,10,0,0,Carlton Cuse,10.0,0.0,11.0,Andrew Lockington,34.0,0.0,12.0,Steve Yedlin,24.0,0.0,0.0,"110,000,000.00",6.1,CLASS-1
Insurgent,2015,PG-13,2.35,Kate Winslet,0,1,82,Jai Courtney,12,0,3,Mekhi Phifer,51,0,5,Robert Schwentke,8,0,15,Brian Duffield,1.0,0.0,0.0,Joseph Trapanese,45.0,0.0,2.0,Florian Ballhaus,33.0,0.0,1.0,"110,000,000.00",6.2,CLASS-1
The Martian,2015,PG-13,2.35,Matt Damon,69,1,32,Jessica Chastain,0,0,27,Kristen Wiig,0,0,0,Ridley Scott,42,0,44,Drew Goddard,9.0,0.0,17.0,Harry Gregson-Williams,66.0,0.0,20.0,Dariusz Wolski,56.0,0.0,1.0,"108,000,000.00",8.0,CLASS-1
In the Heart of the Sea,2015,PG-13,1.85,Chris Hemsworth,20,0,9,Benjamin Walker,16,0,0,Cillian Murphy,44,0,6,Ron Howard,33,2,37,Charles Leavitt,7.0,0.0,0.0,Roque BaÃ±os,22.0,0.0,15.0,Anthony Dod Mantle,47.0,1.0,28.0,"100,000,000.00",6.9,CLASS-1
The Peanuts Movie,2015,G,1.85,Trombone Shorty,3,0,0,Rebecca Bloom,0,0,0,Anastasia Bredikhina,0,0,14,Steve Martino,10,0,1,Craig Schulz,1.0,0.0,0.0,Christophe Beck,22.0,0.0,5.0,Renato FalcÃ£o,17.0,0.0,4.0,"99,000,000.00",7.1,CLASS-1
Cinderella,2015,PG,2.35,Cate Blanchett,0,0,8,Lily James,0,0,9,Richard Madden,14,0,4,Kenneth Branagh,16,0,33,Chris Weitz,5.0,0.0,3.0,Patrick Doyle,28.0,0.0,12.0,Haris Zambarloukos,28.0,0.0,1.0,"95,000,000.00",6.9,CLASS-1
Alvin and the Chipmunks: The Road Chip,2015,PG,1.85,Jason Lee,59,0,6,Justin Long,70,0,1,Matthew Gray Gubler,23,0,9,Walt Becker,8,0,0,Ross Bagdasarian,9.0,0.0,0.0,Mark Mothersbaugh,31.0,0.0,21.0,Peter Lyons Collister,42.0,0.0,0.0,"90,000,000.00",5.0,CLASS-1
Pixels,2015,PG-13,2.35,Adam Sandler,58,0,18,Kevin James,24,0,54,Michelle Monaghan,0,0,10,Chris Columbus,17,0,6,Tim Herlihy,13.0,0.0,1.0,Henry Jackman,17.0,0.0,11.0,Amir Mokri,27.0,0.0,0.0,"88,000,000.00",5.5,CLASS-1
Fantastic Four,2015,PG-13,2.35,Miles Teller,17,0,78,Michael B. Jordan,29,0,1,Kate Mara,0,0,1,Josh Trank,5,0,1,Jeremy Slater,0.0,0.0,1.0,Marco Beltrami,47.0,0.0,18.0,Matthew Jensen,24.0,0.0,1.0,"120,000,000.00",4.3,CLASS-1
Hotel Transylvania 2,2015,PG,1.85,Adam Sandler,58,0,22,Andy Samberg,67,0,54,Selena Gomez,0,0,1,Genndy Tartakovsky,22,0,7,Robert Smigel,29.0,0.0,10.0,Mark Mothersbaugh,31.0,0.0,21.0,Catherine Apple,1.0,0.0,0.0,"80,000,000.00",6.7,CLASS-1
The Last Witch Hunter,2015,PG-13,2.35,Vin Diesel,29,0,4,Rose Leslie,0,0,1,Elijah Wood,99,0,4,Breck Eisner,8,0,0,Cory Goodman,2.0,0.0,0.0,Steve Jablonsky,36.0,0.0,8.0,Dean Semler,76.0,1.0,14.0,"90,000,000.00",6.0,CLASS-1
The Little Prince,2015,PG,2.35,Jeff Bridges,84,1,38,Mackenzie Foy,0,0,43,Rachel McAdams,0,0,4,Mark Osborne,17,0,15,Irena Brignull,3.0,0.0,0.0,Richard Harvey,35.0,0.0,3.0,Carole Kravetz Aykanian,0.0,0.0,0.0,"81,200,000.00",7.7,CLASS-1
The Man from U.N.C.L.E.,2015,PG-13,2.35,Henry Cavill,16,0,1,Armie Hammer,22,0,4,Alicia Vikander,0,0,1,Guy Ritchie,19,0,8,Guy Ritchie,8.0,0.0,8.0,Daniel Pemberton,40.0,0.0,3.0,John Mathieson,51.0,0.0,8.0,"75,000,000.00",7.3,CLASS-1
Minions,2015,PG,1.85,Sandra Bullock,0,0,29,Jon Hamm,57,0,13,Michael Keaton,72,0,14,Kyle Balda,7,0,0,Brian Lynch,6.0,0.0,0.0,Heitor Pereira,87.0,0.0,6.0,Claire Dodgson,0.0,0.0,0.0,"74,000,000.00",6.4,CLASS-1
The SpongeBob Movie: Sponge Out of Water,2015,PG,1.85,Antonio Banderas,89,0,6,Eric Bauza,118,0,6,Tim Conway,123,0,1,Paul Tibbitt,1,0,2,Jonathan Aibel,12.0,0.0,2.0,John Debney,98.0,0.0,32.0,Phil Meheux,53.0,0.0,3.0,"74,000,000.00",6.0,CLASS-1
Blackhat,2015,R,2.35,Chris Hemsworth,20,0,9,Leehom Wang,14,0,0,Wei Tang,0,0,24,Michael Mann,19,0,18,Morgan Davis Foehl,0.0,0.0,0.0,Harry Gregson-Williams,66.0,0.0,20.0,Stuart Dryburgh,43.0,0.0,10.0,"70,000,000.00",5.4,CLASS-1
Ted 2,2020,R,2.35,Mark Wahlberg,54,0,18,Seth MacFarlane,49,1,53,Amanda Seyfried,0,0,2,Seth MacFarlane,14,0,24,Seth MacFarlane,21.0,0.0,24.0,Walter Murphy,18.0,0.0,8.0,Michael Barrett,38.0,0.0,1.0,"68,000,000.00",8.7,CLASS-1
Everest,2015,PG-13,2.35,Jason Clarke,54,0,1,Ang Phula Sherpa,0,0,0,Thomas M. Wright,20,0,0,Baltasar KormÃƒÂ¡kur,11,0,34,William Nicholson,19.0,0.0,2.0,Dario Marianelli,22.0,1.0,14.0,Salvatore Totino,29.0,0.0,0.0,"55,000,000.00",7.1,CLASS-1
The Hobbit: The Battle of the Five Armies,2014,PG-13,2.35,Ian McKellen,99,0,4,Martin Freeman,62,0,0,Richard Armitage,32,0,10,Peter Jackson,21,3,136,Fran Walsh,14.0,3.0,44.0,Howard Shore,74.0,3.0,87.0,Andrew Lesnie,48.0,1.0,27.0,"250,000,000.00",7.4,CLASS-1
Transformers: Age of Extinction,2014,PG-13,2.35,Mark Wahlberg,52,0,7,Stanley Tucci,100,0,3,Kelsey Grammer,78,0,29,Michael Bay,53,0,9,Ehren Kruger,14.0,0.0,1.0,Steve Jablonsky,34.0,0.0,8.0,Amir Mokri,24.0,0.0,0.0,"210,000,000.00",5.6,CLASS-1
The Amazing Spider-Man 2,2012,PG-13,2.35,Andrew Garfield,19,0,58,Emma Stone,0,0,13,Jamie Foxx,53,0,7,Marc Webb,52,0,7,Alex Kurtzman,15.0,0.0,3.0,Michael Einziger,4.0,0.0,0.0,Dan Mindel,19.0,0.0,0.0,"200,000,000.00",6.9,CLASS-1
