Movie_Title,Movie_years,Content_Ratio,Aspect_Ratio,Movie_actor_1_name,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_name,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_name,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_names,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_names,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_name,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
X-Men: Days of Future Past,2014,PG-13,2.35,Hugh Jackman,41,1,102,James McAvoy,39,0,19,Michael Fassbender,41,1,31,Bryan Singer,12,0,18,Simon Kinberg,8.0,0.0,4.0,John Ottman,32.0,1.0,8.0,Newton Thomas Sigel,60.0,0.0,5.0,"200,000,000.00",7.9,CLASS-1
edge of Tomorrow,2014,PG-13,2.35,Tom Cruise,38,0,42,Emily Blunt,0,0,0,Brendan Gleeson,78,0,6,Doug Liman,12,0,2,Christopher McQuarrie,9.0,1.0,9.0,Christophe Beck,22.0,1.0,4.0,Dion Beebe,36.0,1.0,18.0,"178,000,000.00",7.9,CLASS-1
Maleficent,2014,PG,2.35,Angelina Jolie,0,1,50,Elle Fanning,0,0,1,Sharlto Copley,10,0,7,Robert Stromberg,0,2,19,Linda Woolverton,31.0,0.0,1.0,James Newton Howard,95.0,0.0,68.0,Dean Semler,74.0,1.0,14.0,"180,000,000.00",7.0,CLASS-1
Dawn of the Planet of the Apes,2014,PG-13,1.85,Andy Serkis,81,1,47,Jason Clarke,52,0,0,Gary Oldman,83,0,3,Matt Reeves,10,0,2,Mark Bomback,8.0,0.0,0.0,Michael Giacchino,30.0,1.0,80.0,Michael Seresin,28.0,0.0,2.0,"170,000,000.00",7.6,CLASS-1
Captain America: The Winter Soldier,2014,PG-13,2.35,Chris Evans,37,0,51,Samuel L. Jackson,147,0,6,Scarlett Johansson,0,0,0,Anthony Russo,16,0,7,Christopher Markus,8.0,0.0,5.0,Henry Jackman,17.0,0.0,11.0,Trent Opaloch,11.0,0.0,0.0,"170,000,000.00",7.7,CLASS-1
Big Hero 6,2014,PG,2.39,Scott Adsit,68,0,0,Ryan Potter,3,0,5,Daniel Henney,16,0,1,Don Hall,1,1,1,Jordan Roberts,0.0,0.0,0.0,Henry Jackman,17.0,0.0,11.0,Rob Dressel,3.0,0.0,1.0,"165,000,000.00",7.8,CLASS-1
Guardians of the Galaxy,2014,PG-13,2.35,Chris Pratt,32,0,38,Zoe Saldana,0,0,4,Dave Bautista,38,0,16,James Gunn,13,0,15,James Gunn,22.0,0.0,15.0,Tyler Bates,19.0,0.0,6.0,Ben Davis,0.0,0.0,0.0,"170,000,000.00",8.0,CLASS-1
Interstellar,2014,PG-13,2.35,Ellen Burstyn,0,1,37,Matthew McConaughey,54,1,51,Mackenzie Foy,0,0,4,Christopher Nolan,12,0,137,Jonathan Nolan,6.0,0.0,10.0,Hans Zimmer,107.0,1.0,121.0,Hoyte Van Hoytema,19.0,0.0,16.0,"165,000,000.00",8.6,CLASS-1
Mr. Peabody & Sherman,2014,PG,1.85,Ty Burrell,31,0,12,Max Charles,20,0,5,Lauri Fraser,0,0,4,Rob Minkoff,14,0,1,Jay Ward,14.0,0.0,2.0,Danny Elfman,87.0,0.0,80.0,Mike Andrews,0.0,0.0,3.0,"145,000,000.00",6.8,CLASS-1
Exodus: Gods and Kings,2014,PG-13,2.35,Christian Bale,43,1,69,Joel Edgerton,57,0,7,John Turturro,90,0,12,Ridley Scott,41,0,44,Adam Cooper,0.0,0.0,0.0,Alberto Iglesias,20.0,0.0,43.0,Dariusz Wolski,55.0,0.0,1.0,"140,000,000.00",6.0,CLASS-1
How to Train Your Dragon 2,2014,PG,2.35,Jay Baruchel,45,0,3,Cate Blanchett,0,0,13,Gerard Butler,46,0,21,Dean DeBlois,4,0,8,Dean DeBlois,10.0,0.0,8.0,John Powell,17.0,0.0,41.0,Gil Zimmerman,2.0,0.0,0.0,"145,000,000.00",7.8,CLASS-1
Penguins of Madagascar,2014,PG,1.85,Tom McGrath,24,0,26,Chris Miller,3,0,1,Christopher Knights,23,0,2,Eric Darnell,7,0,7,Michael Colton,5.0,0.0,1.0,Lorne Balfe,69.0,0.0,8.0,Nick Kenway,0.0,0.0,0.0,"132,000,000.00",6.7,CLASS-1
Noah,2014,PG-13,1.85,Russell Crowe,47,1,46,Jennifer Connelly,0,0,19,Ray Winstone,118,0,7,Darren Aronofsky,13,0,41,Darren Aronofsky,6.0,0.0,41.0,Clint Mansell,16.0,0.0,12.0,Matthew Libatique,59.0,0.0,14.0,"125,000,000.00",5.7,CLASS-1
Night at the Museum: Secret of the Tomb,2014,PG,1.85,Ben Stiller,112,1,58,Robin Williams,105,1,14,Owen Wilson,53,0,14,Shawn Levy,32,0,4,David Guion,2.0,0.0,0.0,Alan Silvestri,74.0,0.0,43.0,Guillermo Navarro,41.0,1.0,8.0,"127,000,000.00",6.2,CLASS-1
The Hunger Games: Mockingjay - Part 1,2014,"PG-13",2.35,Jennifer Lawrence,0,1,102,Josh Hutcherson,36,1,81,Liam Hemsworth,15,0,19,Francis Lawrence,79,0,5,Peter Craig,1.0,0.0,0.0,James Newton Howard,95.0,0.0,68.0,Jo Willems,28.0,0.0,1.0,"125,000,000.00",6.6,CLASS-1
300: Rise of an Empire,2014,"R",2.35,Sullivan Stapleton,42,0,4,Eva Green,0,0,0,Lena Headey,0,0,1,Noam Murro,2,0,3,Zack Snyder,3.0,0.0,5.0,Junkie XL,21.0,0.0,7.0,Simon Duggan,11.0,0.0,5.0,"110,000,000.00",6.2,CLASS-1
The Expendables 3,2014,PG-13,2.35,Sylvester Stallone,69,0,1,Jason Statham,40,0,47,Harrison Ford,71,0,42,Patrick Hughes,4,0,2,Sylvester Stallone,26.0,0.0,61.0,Brian Tyler,64.0,0.0,16.0,Peter Menzies Jr.,27.0,0.0,0.0,"90,000,000.00",6.1,CLASS-1
Seventh Son,2014,PG-13,2.35,Jeff Bridges,81,1,41,Ben Barnes,16,0,11,Julianne Moore,0,0,5,Sergey Bodrov,1,0,11,Charles Leavitt,6.0,0.0,0.0,Marco Beltrami,45.0,0.0,18.0,Newton Thomas Sigel,60.0,0.0,5.0,"95,000,000.00",5.5,CLASS-1
Transcendence,2014,PG-13,2.35,Johnny Depp,70,0,68,Rebecca Hall,0,1,53,Paul Bettany,38,0,5,Wally Pfister,0,1,26,Jack Paglen,0.0,0.0,0.0,Mychael Danna,27.0,1.0,33.0,Jess Hall,15.0,0.0,0.0,"100,000,000.00",6.3,CLASS-1
Divergent,2014,PG-13,2.35,Shailene Woodley,0,1,79,Theo James,10,0,3,Ashley Judd,0,0,5,Neil Burger,6,0,4,Evan Daugherty,4.0,0.0,1.0,Junkie XL,21.0,0.0,7.0,Alwin H. KÃ¼chler,36.0,0.0,4.0,"85,000,000.00",6.7,CLASS-1
Pompeii,2014,"PG-13",2.35,Dylan Schombing,0,0,0,Jean-Francois Lachapelle,12,0,0,Rebecca Roberts,0,0,0,Paul W.S. Anderson,13,0,2,Janet Scott Batchler,5.0,0.0,1.0,Clinton Shorter,18.0,0.0,9.0,Glen MacPherson,56.0,0.0,1.0,"80,000,000.00",5.5,CLASS-1
The Monuments Men,2014,PG-13,2.35,George Clooney,80,0,45,Matt Damon,67,0,0,Bill Murray,72,0,10,George Clooney,5,2,91,George Clooney,3.0,2.0,91.0,Alexandre Desplat,57.0,2.0,99.0,Phedon Papamichael,53.0,0.0,10.0,"70,000,000.00",6.1,CLASS-1
Dracula Untold,2014,PG-13,2.35,Luke Evans,18,0,2,Sarah Gadon,0,1,28,Dominic Cooper,40,0,0,Gary Shore,1,0,0,Matt Sazama,0.0,0.0,0.0,Ramin Djawadi,21.0,0.0,22.0,John Schwartzman,32.0,0.0,1.0,"70,000,000.00",6.3,CLASS-1
The Legend of Hercules,2014,PG-13,2.35,Kellan Lutz,33,0,2,Gaia Weiss,0,0,0,Scott Adkins,34,0,0,Renny Harlin,27,0,3,Sean Hood,11.0,0.0,1.0,Tuomas Kantelinen,9.0,0.0,7.0,Sam McCurdy,44.0,0.0,1.0,"70,000,000.00",4.2,CLASS-1
Need for Speed,2014,PG-13,2.35,Aaron Paul,58,1,16,Dominic Cooper,40,0,2,Imogen Poots,0,0,1,Scott Waugh,5,0,1,George Gatins,0.0,0.0,0.0,Nathan Furst,20.0,0.0,0.0,Shane Hurlbut,24.0,0.0,0.0,"66,000,000.00",6.4,CLASS-1
Unbroken,2014,PG-13,2.35,Jack O'Connell,22,0,2,Domhnall Gleeson,23,0,11,Garrett Hedlund,14,0,3,Angelina Jolie Pitt,2,1,56,Joel Coen,24.0,4.0,136.0,Alexandre Desplat,57.0,2.0,99.0,Roger Deakins,75.0,2.0,168.0,"65,000,000.00",7.2,CLASS-1
Annie,2013,PG,2.39,Albert Finney,25,0,19,Carol Burnett,0,0,3,Ann Reinking,0,0,2,Will Gluck,4,0,0,Carol Sobieski,20.0,0.0,2.0,Charles Strouse,6.0,0.0,2.0,Richard Moore,0.0,1.0,19.0,"65,000,000.00",8.5,CLASS-1
Sin City: A Dame to Kill For,2014,R,1.85,Mickey Rourke,69,0,16,Jessica Alba,0,0,1,Josh Brolin,54,0,5,Frank Miller,2,0,2,Frank Miller,20.0,0.0,2.0,Robert Rodriguez,7.0,0.0,39.0,Robert Rodriguez,14.0,0.0,39.0,"65,000,000.00",6.8,CLASS-1
Gone Girl,2014,R,2.35,Ben Affleck,56,0,2,Rosamund Pike,0,0,17,Neil Patrick Harris,90,0,1,David Fincher,90,0,68,Gillian Flynn,0.0,0.0,25.0,Trent Reznor,11.0,1.0,21.0,Jeff Cronenweth,35.0,0.0,1.0,"61,000,000.00",8.1,CLASS-1
Jack Ryan: Shadow Recruit,2014,PG-13,2.35,Chris Pine,29,0,4,Keira Knightley,0,0,6,Kevin Costner,48,0,1,Kenneth Branagh,15,0,33,Adam Cozad,0.0,0.0,0.0,Patrick Doyle,27.0,0.0,12.0,Haris Zambarloukos,27.0,0.0,1.0,"60,000,000.00",6.2,CLASS-1
The Boxtrolls,2014,PG,1.85,Steve Blum,606,0,0,Dee Bradley Baker,436,0,11,Max Mitchell,0,0,5,Graham Annable,3,0,10,Irena Brignull,2.0,0.0,0.0,Dario Marianelli,21.0,1.0,14.0,John Ashlee Prat,7.0,0.0,1.0,"60,000,000.00",6.8,CLASS-1
The Lone Ranger,2013,PG-13,2.35,Johnny Depp,68,0,64,Armie Hammer,18,0,2,William Fichtner,59,0,25,Gore Verbinski,19,1,8,Justin Haythe,2.0,0.0,2.0,Hans Zimmer,103.0,1.0,121.0,Bojan Bazelli,35.0,0.0,2.0,"215,000,000.00",6.4,CLASS-1
Man of Steel,2013,PG-13,2.35,Henry Cavill,15,0,1,Amy Adams,0,0,1,Michael Shannon,55,0,7,Zack Snyder,16,0,5,David S. Goyer,32.0,0.0,8.0,Hans Zimmer,103.0,1.0,121.0,Amir Mokri,23.0,0.0,0.0,"225,000,000.00",7.0,CLASS-1
The Hobbit: The Desolation of Smaug,2013,PG-13,2.35,Ian McKellen,94,0,3,Martin Freeman,58,0,0,Richard Armitage,31,0,10,Peter Jackson,20,3,136,Fran Walsh,13.0,3.0,44.0,Howard Shore,72.0,3.0,87.0,Andrew Lesnie,46.0,1.0,27.0,"225,000,000.00",7.8,CLASS-1
Iron Man 3,2013,PG-13,2.35,Robert Downey Jr.,79,0,33,Gwyneth Paltrow,0,0,6,Don Cheadle,75,0,36,Shane Black,1,0,4,Drew Pearce,6.0,0.0,0.0,Brian Tyler,57.0,0.0,16.0,John Toll,31.0,2.0,16.0,"200,000,000.00",7.2,CLASS-1
Oz the Great and Powerful,2013,PG,2.35,James Franco,72,0,0,Mila Kunis,0,0,12,Rachel Weisz,0,0,51,Sam Raimi,32,0,14,Mitchell Kapner,5.0,0.0,0.0,Danny Elfman,86.0,0.0,80.0,Peter Deming,48.0,0.0,2.0,"215,000,000.00",6.3,CLASS-1
World War Z,2013,PG-13,2.35,Brad Pitt,66,1,10,Mireille Enos,0,2,83,Daniella Kertesz,0,0,0,Marc Forster,10,0,6,Matthew Michael Carnahan,3.0,0.0,0.0,Marco Beltrami,43.0,0.0,18.0,Ben Seresin,13.0,0.0,0.0,"190,000,000.00",7.0,CLASS-1
Star Trek Into Darkness,2013,PG-13,2.35,Chris Pine,26,0,28,Zachary Quinto,37,0,6,Zoe Saldana,0,0,6,J.J. Abrams,11,0,25,Roberto Orci,13.0,0.0,3.0,Michael Giacchino,28.0,1.0,80.0,Dan Mindel,18.0,0.0,0.0,"190,000,000.00",7.7,CLASS-1
Jack the Giant Slayer,2013,PG-13,2.35,Nicholas Hoult,29,0,7,Eleanor Tomlinson,0,0,3,Ewan McGregor,60,0,0,Bryan Singer,11,0,18,Darren Lemke,5.0,0.0,0.0,John Ottman,32.0,1.0,8.0,Newton Thomas Sigel,58.0,0.0,5.0,"195,000,000.00",6.2,CLASS-1
The Great Gatsby,2013,PG-13,2.35,Lisa Adam,0,1,82,Frank Aldridge,3,0,4,Amitabh Bachchan,195,0,2,Baz Luhrmann,13,0,35,Baz Luhrmann,11.0,0.0,35.0,Craig Armstrong,24.0,1.0,13.0,Simon Duggan,10.0,0.0,5.0,"105,000,000.00",7.2,CLASS-1
Pacific Rim,2013,PG-13,1.85,Charlie Hunnam,16,0,3,Diego Klattenhoff,44,0,5,Idris Elba,59,0,0,Guillermo del Toro,12,2,97,Travis Beacham,5.0,0.0,0.0,Ramin Djawadi,21.0,0.0,22.0,Guillermo Navarro,40.0,1.0,8.0,"190,000,000.00",6.9,CLASS-1
47 Ronin,2013,PG-13,2.35,Keanu Reeves,72,0,10,Hiroyuki Sanada,95,0,1,Ko Shibasaki,0,0,0,Carl Rinsch,5,0,0,Chris Morgan,6.0,0.0,0.0,Ilan Eshkeri,15.0,0.0,3.0,John Mathieson,46.0,0.0,8.0,"175,000,000.00",6.3,CLASS-1
Frozen,2013,PG,2.24,Kristen Bell,0,0,8,Idina Menzel,0,0,13,Jonathan Groff,8,0,2,Chris Buck,2,1,12,Jennifer Lee,0.0,0.0,1.0,Kristen Anderson-Lopez,1.0,2.0,18.0,Jeff Draheim,0.0,0.0,1.0,"150,000,000.00",7.4,CLASS-1
Thor: The Dark World,2013,PG-13,2.35,Chris Hemsworth,17,0,10,Natalie Portman,0,1,77,Tom Hiddleston,25,1,52,Alan Taylor,30,0,8,Christopher L. Yost,8.0,0.0,0.0,Brian Tyler,57.0,0.0,16.0,Kramer Morgenthau,55.0,0.0,2.0,"170,000,000.00",6.9,CLASS-1
White House Down,2013,PG-13,2.35,Channing Tatum,31,0,17,Jamie Foxx,51,0,0,Maggie Gyllenhaal,0,0,0,Roland Emmerich,16,0,19,James Vanderbilt,6.0,0.0,0.0,Harald Kloser,6.0,0.0,3.0,Anna Foerster,5.0,0.0,1.0,"150,000,000.00",6.4,CLASS-1
G.I. Joe: Retaliation,2013,PG-13,2.35,Dwayne Johnson,48,0,17,Jonathan Pryce,92,0,11,Byung-hun Lee,30,0,0,Jon M. Chu,12,0,2,Rhett Reese,11.0,0.0,2.0,Henry Jackman,16.0,0.0,11.0,Stephen F. Windon,35.0,0.0,3.0,"130,000,000.00",5.8,CLASS-1
Turbo,2013,PG,2.35,Ryan Reynolds,51,0,16,Paul Giamatti,72,0,6,Michael PeÃ±a,55,0,3,David Soren,3,0,0,Darren Lemke,5.0,0.0,0.0,Henry Jackman,16.0,0.0,11.0,Chris Stover,0.0,0.0,0.0,"135,000,000.00",6.4,CLASS-1
The Hunger Games: Catching Fire,2013,PG-13,2.35,Jennifer Lawrence,0,0,98,Liam Hemsworth,11,0,16,Jack Quaid,4,0,1,Francis Lawrence,78,0,5,Simon Beaufoy,14.0,1.0,26.0,James Newton Howard,94.0,0.0,68.0,Jo Willems,27.0,0.0,1.0,"130,000,000.00",7.5,CLASS-1
After Earth,2013,PG-13,2.35,Jaden Smith,15,0,51,Will Smith,58,0,3,Sophie Okonedo,0,0,3,M. Night Shyamalan,9,0,16,Gary Whitta,4.0,0.0,0.0,James Newton Howard,94.0,0.0,68.0,Peter Suschitzky,49.0,0.0,9.0,"130,000,000.00",4.8,CLASS-1
R.I.P.D.,2013,PG-13,2.35,Jeff Bridges,80,0,16,Ryan Reynolds,51,1,38,Kevin Bacon,76,0,1,Robert Schwentke,7,0,15,Phil Hay,5.0,0.0,5.0,Christophe Beck,21.0,0.0,5.0,Alwin H. KÃ¼chler,35.0,0.0,4.0,"130,000,000.00",5.6,CLASS-1
Elysium,2013,R,2.35,Matt Damon,62,1,29,Jodie Foster,0,0,1,Sharlto Copley,5,0,12,Neill Blomkamp,10,0,14,Neill Blomkamp,5.0,0.0,14.0,Ryan Amon,2.0,0.0,1.0,Trent Opaloch,10.0,0.0,0.0,"115,000,000.00",6.6,CLASS-1
Oblivion,2013,PG-13,2.35,Tom Cruise,37,1,57,Morgan Freeman,99,0,42,Olga Kurylenko,0,0,6,Joseph Kosinski,2,0,0,Karl Gajdusek,1.0,0.0,0.0,Anthony Gonzalez,0.0,0.0,10.0,Claudio Miranda,19.0,1.0,24.0,"120,000,000.00",7.0,CLASS-1
The Wolverine,2013,PG-13,2.35,Hugh Jackman,38,0,24,Tao Okamoto,0,0,0,Rila Fukushima,0,0,0,James Mangold,11,0,11,Mark Bomback,7.0,0.0,0.0,Marco Beltrami,43.0,0.0,18.0,Ross Emery,11.0,0.0,2.0,"120,000,000.00",6.7,CLASS-1
The Croods,2013,PG,2.35,Nicolas Cage,66,0,16,Emma Stone,0,1,67,Ryan Reynolds,51,1,44,Kirk De Micco,1,0,0,Chris Sanders,14.0,0.0,8.0,Alan Silvestri,72.0,0.0,43.0,Darren T. Holmes,0.0,0.0,0.0,"135,000,000.00",7.2,CLASS-1
Gravity,2013,PG-13,2.35,Sandra Bullock,0,0,0,George Clooney,78,0,0,Ed Harris,81,0,0,Alfonso CuarÃƒÂ³n,22,4,231,Alfonso CuarÃ³n,10.0,4.0,253.0,Steven Price,40.0,1.0,19.0,Emmanuel Lubezki,36.0,3.0,144.0,"100,000,000.00",7.7,CLASS-1
The Smurfs 2,2013,PG,1.85,Hank Azaria,81,0,17,Neil Patrick Harris,86,0,2,Brendan Gleeson,75,0,2,Raja Gosnell,9,0,0,J. David Stem,13.0,0.0,0.0,Heitor Pereira,82.0,0.0,6.0,Phil Meheux,51.0,0.0,3.0,"105,000,000.00",5.3,CLASS-1
Ender's Game,2013,"PG-13",2.35,Asa Butterfield,8,0,38,Harrison Ford,67,0,0,Hailee Steinfeld,0,0,0,Gavin Hood,9,0,29,Gavin Hood,6.0,0.0,29.0,Steve Jablonsky,33.0,0.0,8.0,Donald McAlpine,60.0,0.0,11.0,"110,000,000.00",6.6,CLASS-1
The Wolf of Wall Street,2013,R,2.35,Leonardo DiCaprio,41,1,82,Jonah Hill,40,1,34,Margot Robbie,0,0,8,Martin Scorsese,53,1,5,Terence Winter,8.0,0.0,20.0,Rodrigo Prieto,0.0,0.0,16.0,Thelma Schoonmaker,0.0,3.0,36.0,"100,000,000.00",8.2,CLASS-1
A Good Day to Die Hard,2013,R,1.85,Bruce Willis,96,0,17,Jai Courtney,6,0,1,Sebastian Koch,86,0,0,John Moore,6,1,166,Skip Woods,5.0,0.0,1.0,Marco Beltrami,43.0,0.0,18.0,Jonathan Sela,37.0,0.0,2.0,"92,000,000.00",5.3,CLASS-1
The Secret Life of Walter Mitty,2013,PG,2.35,Ben Stiller,109,0,2,Kristen Wiig,0,0,0,Jon Daly,45,0,0,Ben Stiller,14,0,0,Steve Conrad,7.0,0.0,0.0,Theodore Shapiro,9.0,0.0,15.0,Stuart Dryburgh,42.0,0.0,10.0,"90,000,000.00",7.3,CLASS-1
Percy Jackson: Sea of Monsters,2013,PG,2.35,Logan Lerman,20,0,5,Alexandra Daddario,0,0,1,Douglas Smith,31,0,1,Thor Freudenthal,10,0,3,Marc Guggenheim,13.0,0.0,2.0,Andrew Lockington,33.0,0.0,12.0,Shelly Johnson,60.0,0.0,0.0,"90,000,000.00",5.8,CLASS-1
RED 2,2018,PG-13,2.35,Bruce Willis,96,0,17,John Malkovich,83,1,37,Mary-Louise Parker,0,0,0,Dean Parisot,37,1,6,Jon Hoeber,4.0,0.0,0.0,Alan Silvestri,72.0,0.0,43.0,Enrique Chediak,32.0,0.0,7.0,"84,000,000.00",7.3,CLASS-1
Grown Ups 2,2013,PG-13,1.85,Adam Sandler,51,0,22,Kevin James,23,0,53,Chris Rock,55,0,1,Dennis Dugan,36,1,4,Fred Wolf,13.0,0.0,0.0,Rupert Gregson-Williams,21.0,0.0,12.0,Theo van de Sande,94.0,0.0,3.0,"80,000,000.00",5.4,CLASS-1
Walking with Dinosaurs 3D,2013,PG,2.35,Charlie Rowe,8,0,0,Karl Urban,30,0,1,Angourie Rice,0,0,0,Barry Cook,7,2,4,John Collee,9.0,0.0,1.0,Paul Leonard-Morgan,4.0,0.0,1.0,John Brooks,0.0,0.0,0.0,"80,000,000.00",5.2,CLASS-1
Cloudy with a Chance of Meatballs 2,2013,PG,2.35,Bill Hader,57,0,1,Anna Faris,0,0,0,James Caan,111,0,0,Cody Cameron,0,0,0,Erica Rivinoja,12.0,0.0,6.0,Mark Mothersbaugh,30.0,0.0,21.0,Robert Fisher Jr.,0.0,0.0,2.0,"78,000,000.00",6.4,CLASS-1
Despicable Me 2,2010,PG,1.85,Steve Carell,50,0,29,Kristen Wiig,0,0,2,Benjamin Bratt,48,0,14,Pierre Coffin,3,0,22,Cinco Paul,14.0,0.0,1.0,Heitor Pereira,82.0,0.0,6.0,Gregory Perler,0.0,0.0,0.0,"76,000,000.00",7.6,CLASS-1
Now You See Me,2013,PG-13,2.35,Jesse Eisenberg,25,1,57,Mark Ruffalo,51,1,14,Woody Harrelson,71,0,1,Louis Leterrier,10,0,1,Ed Solomon,16.0,0.0,1.0,Brian Tyler,57.0,0.0,16.0,Mitchell Amundsen,13.0,0.0,0.0,"75,000,000.00",7.3,CLASS-1
Escape Plan,2013,R,2.35,Sylvester Stallone,66,0,52,Arnold Schwarzenegger,53,0,6,Jim Caviezel,34,0,0,Mikael HÃƒÂ¥fstrÃƒÂ¶m,23,0,5,Miles Chapman,1.0,0.0,0.0,Alex Heffes,10.0,0.0,5.0,Brendan Galvin,26.0,0.0,0.0,"50,000,000.00",6.7,CLASS-1
The Dark Knight Rises,2012,PG-13,2.35,Christian Bale,40,0,16,Gary Oldman,76,1,57,Tom Hardy,37,0,22,Christopher Nolan,11,0,121,Jonathan Nolan,5.0,0.0,10.0,Hans Zimmer,100.0,1.0,121.0,Wally Pfister,41.0,1.0,26.0,"250,000,000.00",8.4,CLASS-1
John Carter,2012,PG-13,2.35,Taylor Kitsch,9,0,2,Lynn Collins,0,0,14,Samantha Morton,0,0,1,Andrew Stanton,7,2,34,Andrew Stanton,13.0,2.0,34.0,Michael Giacchino,26.0,1.0,80.0,Dan Mindel,16.0,0.0,0.0,"263,700,000.00",6.6,CLASS-1
The Avengers,2012,PG-13,1.85,Robert Downey Jr.,78,0,17,Chris Evans,32,0,33,Mark Ruffalo,49,0,61,Joss Whedon,11,0,25,Joss Whedon,20.0,0.0,25.0,Alan Silvestri,70.0,0.0,43.0,Seamus McGarvey,48.0,0.0,13.0,"220,000,000.00",8.0,CLASS-1
Men in Black 3,2012,PG-13,1.85,Will Smith,56,0,49,Tommy Lee Jones,69,0,8,Josh Brolin,49,0,1,Barry Sonnenfeld,19,0,7,Etan Cohen,9.0,0.0,3.0,Danny Elfman,82.0,0.0,80.0,Bill Pope,43.0,0.0,3.0,"225,000,000.00",6.8,CLASS-1
