Movie_Title,Movie_years,Content_Ratio,Screen_Count,Aspect_Ratio,Movie_actor_1_name,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_name,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_name,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_names,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_names,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_name,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
Batman v Superman: Dawn of Justice,2016,2,4242,2.35,Ben Affleck,58,0,1,Henry Cavill,17,0,1,Amy Adams,26,0,0,Zack Snyder,18,0,3,Chris Terrio,3,1,17,Junkie XL,25,0,7,Larry Fong,21,0,0,250000000,6.4,CLASS-2
Captain America: Civil War,2016,2,4226,2.35,Chris Evans,42,0,35,Robert Downey Jr.,83,0,38,Scarlett Johansson,42,0,5,Anthony Russo,18,0,3,Christopher Markus,9,0,5,Henry Jackman,17,0,11,Trent Opaloch,13,0,0,250000000,7.8,CLASS-4
Star Trek Beyond,2016,2,3928,2.35,Chris Pine,39,0,1,Zachary Quinto,46,0,0,Karl Urban,21,0,0,Justin Lin,16,0,3,Simon Pegg,21,0,11,Michael Giacchino,37,1,80,Stephen F. Windon,39,0,3,185000000,7.1,CLASS-3
The Legend of Tarzan,2016,2,3561,2.35,Alexander SkarsgÃ¥rd,46,2,73,Rory J. Saper,1,0,9,Christian Stevens,115,0,0,David Yates,21,0,14,Adam Cozad,1,0,0,Rupert Gregson-Williams,24,0,12,Henry Braham,24,0,1,180000000,6.2,CLASS-2
X-Men: Apocalypse,2016,2,4150,2.35,James McAvoy,43,1,106,Michael Fassbender,47,0,67,Jennifer Lawrence,10,0,6,Bryan Singer,14,0,15,Simon Kinberg,10,0,4,John Ottman,33,1,8,Newton Thomas Sigel,63,0,5,178000000,6.9,CLASS-3
Suicide Squad,2016,2,4255,2.35,Will Smith,65,0,54,Jaime FitzSimons,4,0,5,Ike Barinholtz,34,0,0,David Ayer,8,0,0,David Ayer,9,0,0,Steven Price,40,1,19,Roman Vasyanov,13,0,2,175000000,6,CLASS-2
The Jungle Book,2016,1,4028,1.85,Neel Sethi,2,0,53,Bill Murray,81,0,45,Ben Kingsley,32,0,14,Jon Favreau,17,0,3,Justin Marks,6,0,0,John Debney,100,0,32,Bill Pope,48,0,3,175000000,7.4,CLASS-3
Independence Day: Resurgence,2016,2,4130,2.35,Liam Hemsworth,21,0,5,Jeff Goldblum,110,0,5,Jessie T. Usher,74,0,4,Roland Emmerich,18,0,15,Nicolas Wright,3,0,1,Harald Kloser,6,0,3,Markus FÃ¶rderer,16,0,4,165000000,5.2,CLASS-2
Alice Through the Looking Glass,2016,1,3763,1.85,Johnny Depp,76,0,67,Mia Wasikowska,0,0,13,Helena Bonham Carter,40,1,56,James Bobin,12,0,2,Linda Woolverton,33,0,1,Danny Elfman,95,0,80,Stuart Dryburgh,45,0,10,170000000,6.2,CLASS-2
Warcraft,2016,2,3400,2.35,Travis Fimmel,20,0,2,Paula Patton,0,0,6,Ben Foster,31,0,11,Duncan Jones,4,0,15,Charles Leavitt,8,0,0,Ramin Djawadi,22,0,22,Simon Duggan,12,0,5,160000000,6.8,CLASS-3
The Legend of Tarzan,2016,2,3561,2.35,Alexander SkarsgÃ¥rd,46,2,73,Rory J. Saper,1,0,8,Christian Stevens,15,0,0,David Yates,21,0,7,Adam Cozad,1,0,0,Rupert Gregson-Williams,24,0,14,Henry Braham,24,0,1,180000000,6.2,CLASS-2
Kung Fu Panda 3,2016,1,3955,2.35,Jack Black,139,1,48,Bryan Cranston,137,1,47,Dustin Hoffman,106,0,1,Alessandro Carloni,1,0,0,Jonathan Aibel,13,0,1,Hans Zimmer,116,1,121,Clare Knight,0,0,0,145000000,7.1,CLASS-3
Gods of Egypt,2016,2,3715,2.35,Brenton Thwaites,14,0,4,John Samaha,39,0,0,Courtney Eaton,82,0,0,Alex Proyas,28,0,7,Matt Sazama,2,0,0,Marco Beltrami,51,0,18,Peter Menzies Jr.,28,0,0,140000000,5.4,CLASS-2
The BFG,2016,1,3715,2.35,Mark Rylance,26,1,17,Ruby Barnhill,0,0,2,Penelope Wilton,51,0,7,Steven Spielberg,56,3,148,Melissa Mathison,10,0,3,John Williams,248,5,184,Janusz Kaminski,43,2,36,140000000,6.4,CLASS-2
Jason Bourne,2016,2,4026,2.35,Matt Damon,73,1,27,Tommy Lee Jones,76,0,7,Alicia Vikander,44,0,2,Paul Greengrass,17,0,38,Paul Greengrass,9,0,38,David Buckley,16,0,1,Barry Ackroyd,75,0,13,120000000,6.6,CLASS-3
The Huntsman: Winter's War,2016,2,3715,2.35,Chris Hemsworth,24,0,8,Charlize Theron,0,0,3,Jessica Chastain,11,0,0,Cedric Nicolas-Troyan,3,0,0,Evan Spiliotopoulos,19,0,1,James Newton Howard,99,0,68,Phedon Papamichael,57,0,10,115000000,6.1,CLASS-2
Allegiant,2016,2,3740,2.35,Shailene Woodley,0,0,51,Theo James,13,0,3,Naomi Watts,27,1,51,Robert Schwentke,10,0,15,Noah Oppenheim,1,0,2,Joseph Trapanese,47,0,2,Florian Ballhaus,34,0,1,110000000,5.7,CLASS-2
Now You See Me 2,2016,2,3232,2.35,Jesse Eisenberg,34,0,15,Mark Ruffalo,59,1,54,Woody Harrelson,36,0,7,Jon M. Chu,16,0,2,Ed Solomon,17,0,1,Brian Tyler,67,0,16,Peter Deming,50,0,2,90000000,6.5,CLASS-2
The Secret Life of Pets,2016,1,4370,1.85,Louis C.K.,30,0,12,Eric Stonestreet,43,0,5,Kevin Hart,36,0,23,Yarrow Cheney,2,0,1,Cinco Paul,16,0,1,Alexandre Desplat,67,2,99,Ken Schretzmann,0,0,1,75000000,6.5,CLASS-2
The Angry Birds Movie,2019,1,3932,1.85,Jason Sudeikis,44,0,20,Josh Gad,47,0,7,Danny McBride,94,0,2,Clay Kaytis,2,0,0,Jon Vitti,13,0,3,Heitor Pereira,89,0,6,Kent Beyda,0,0,0,73000000,6.4,CLASS-2
London Has Fallen,2016,4,3490,2.35,Alon Aboutboul,81,0,4,Waleed Zuaiter,31,0,19,Adel Bencherif,6,0,2,Babak Najafi,12,0,5,Creighton Rothenberger,2,0,0,Trevor Morris,32,0,6,Ed Wild,26,0,1,60000000,5.9,CLASS-2
Deadpool,2018,4,3558,2.35,Ryan Reynolds,60,0,14,Karan Soni,31,0,2,Ed Skrein,27,0,0,Tim Miller,4,0,2,Rhett Reese,13,0,2,Junkie XL,25,0,7,Ken Seng,31,0,0,58000000,7.7,CLASS-4
Central Intelligence,2016,2,3508,2.35,Dwayne Johnson,60,0,11,Kevin Hart,63,0,5,Amy Ryan,35,0,1,Rawson Marshall Thurber,10,0,0,Ike Barinholtz,1,0,0,Ludwig GÃ¶ransson,10,1,8,Barry Peterson,17,0,0,50000000,6.3,CLASS-2
13 Hours,2016,4,3715,2.35,John Krasinski,38,0,0,James Badge Dale,32,0,2,Pablo Schreiber,47,0,0,Michael Bay,54,0,9,Chuck Hogan,2,0,0,Lorne Balfe,70,0,8,Dion Beebe,40,1,18,50000000,7.3,CLASS-3
Free State of Jones,2016,4,3715,1.85,Matthew McConaughey,58,1,42,Gugu Mbatha-Raw,0,0,0,Mahershala Ali,33,0,1,Gary Ross,4,0,8,Gary Ross,10,0,8,Nicholas Britell,4,0,26,BenoÃ®t Delhomme,57,0,4,50000000,6.9,CLASS-3
Zoolander 2,2016,2,3715,2.35,Justin Bieber,49,0,3,Jon Daly,74,0,12,PenÃ©lope Cruz,44,0,1,Ben Stiller,15,0,14,Justin Theroux,5,0,3,Theodore Shapiro,11,0,15,Dan Mindel,21,0,0,50000000,4.7,CLASS-1
The Conjuring 2,2016,4,3343,2.35,Patrick Wilson,39,0,4,Vera Farmiga,0,0,6,Madison Wolfe,201,0,7,James Wan,10,0,1,Chad Hayes,22,0,0,Joseph Bishara,7,0,2,Don Burgess,48,0,0,40000000,7.3,CLASS-3
The 5th Wave,2016,2,3715,2.35,ChloÃ« Grace Moretz,0,0,20,Matthew Zuk,8,0,0,Gabriela Lopez,12,0,3,J Blakeson,3,0,1,Susannah Grant,11,0,4,Henry Jackman,17,0,11,Enrique Chediak,37,0,7,38000000,5.2,CLASS-2
How to Be Single,2016,4,3715,2.35,Dakota Johnson,0,0,8,Rebel Wilson,0,0,0,Leslie Mann,36,0,3,Christian Ditter,13,0,11,Abby Kohn,8,0,1,Fil Eisler,9,0,3,Christian Rein,30,0,2,38000000,6.1,CLASS-2
Neighbors 2: Sorority Rising,2016,4,3384,2.35,Seth Rogen,70,0,20,Zac Efron,44,0,0,Rose Byrne,28,0,3,Nicholas Stoller,5,0,2,Andrew Jay Cohen,5,0,0,Michael Andrews,9,0,3,Brandon Trost,79,0,2,35000000,5.7,CLASS-2
Triple 9,2016,4,3715,2.35,Chiwetel Ejiofor,41,1,82,Casey Affleck,32,0,4,Anthony Mackie,99,0,5,John Hillcoat,44,0,4,Matt Cook,0,0,0,The Haxan Cloak,3,0,1,Nicolas Karakatsanis,49,0,6,20000000,6.3,CLASS-2
Spectre,2015,2,3929,2.35,Daniel Craig,61,2,73,Christoph Waltz,105,0,3,LÃ©a Seydoux,17,0,0,Sam Mendes,8,1,55,John Logan,19,0,7,Thomas Newman,57,0,65,Hoyte Van Hoytema,20,0,16,245000000,6.8,CLASS-3
Avengers: Age of Ultron,2015,2,4276,2.35,Robert Downey Jr.,82,0,9,Chris Hemsworth,20,0,34,Mark Ruffalo,58,0,47,Joss Whedon,16,0,25,Joss Whedon,25,0,25,Danny Elfman,93,0,80,Ben Davis,0,0,0,250000000,7.3,CLASS-3
Jurassic World,2015,2,4274,2,Chris Pratt,35,0,17,Bryce Dallas Howard,0,0,0,Irrfan Khan,49,0,6,Colin Trevorrow,4,0,7,Rick Jaffa,4,0,1,Michael Giacchino,31,1,80,John Schwartzman,33,0,1,150000000,7,CLASS-3
Furious 7,2015,2,4004,2.35,Vin Diesel,29,0,1,Paul Walker,42,0,6,Jason Statham,29,0,6,James Wan,9,0,14,Chris Morgan,8,0,0,Brian Tyler,64,0,16,Marc Spicer,5,0,1,190000000,7.1,CLASS-3
Jupiter Ascending,2015,2,3715,2.35,Mila Kunis,0,0,17,Channing Tatum,43,0,12,Sean Bean,21,0,21,Lana Wachowski,9,0,12,Lilly Wachowski,17,0,11,Michael Giacchino,31,1,80,John Toll,32,2,16,176000000,5.3,CLASS-2
Inside Out,2015,1,3946,1.85,Amy Poehler,0,0,24,Phyllis Smith,0,0,10,Richard Kind,12,0,5,Pete Docter,8,2,46,Pete Docter,11,2,46,Michael Giacchino,31,1,80,Kevin Nolting,0,0,3,175000000,8.1,CLASS-4
Tomorrowland,2015,1,3972,2.2,George Clooney,82,0,10,Hugh Laurie,96,0,1,Britt Robertson,6,0,0,Brad Bird,9,2,32,Damon Lindelof,12,0,17,Michael Giacchino,31,1,80,Claudio Miranda,20,1,24,190000000,6.4,CLASS-2
The Hunger Games: Mockingjay - Part 2,2015,2,4175,2.35,Jennifer Lawrence,0,1,104,Josh Hutcherson,38,1,79,Liam Hemsworth,38,0,17,Francis Lawrence,80,0,5,Peter Craig,2,0,0,James Newton Howard,98,0,68,Jo Willems,29,0,1,160000000,6.6,CLASS-3
Terminator Genisys,2015,2,3758,2.35,Arnold Schwarzenegger,61,1,48,Jason Clarke,54,0,8,Emilia Clarke,34,0,5,Alan Taylor,31,0,8,Laeta Kalogridis,5,0,1,Lorne Balfe,69,0,8,Kramer Morgenthau,58,0,2,155000000,6.3,CLASS-2
Mad Max: Fury Road,2015,4,3702,2.35,Tom Hardy,43,0,15,Charlize Theron,0,0,57,Nicholas Hoult,25,0,3,George Miller,18,1,71,George Miller,14,1,71,Junkie XL,22,0,7,John Seale,44,1,36,150000000,8.1,CLASS-4
Mission: Impossible - Rogue Nation,2015,2,3956,2.35,Tom Cruise,39,0,46,Jeremy Renner,46,0,27,Simon Pegg,51,0,3,Christopher McQuarrie,2,1,9,Christopher McQuarrie,10,1,9,Joe Kraemer,10,0,3,Robert Elswit,75,1,16,150000000,7.4,CLASS-3
Pan,2015,1,3715,2.35,Hugh Jackman,43,0,26,Levi Miller,4,0,3,Garrett Hedlund,27,0,0,Joe Wright,14,0,11,Jason Fuchs,4,0,5,John Powell,17,0,41,John Mathieson,51,0,8,150000000,8.5,CLASS-4
The Revenant,2015,4,3715,2.35,Leonardo DiCaprio,46,1,87,Tom Hardy,43,0,14,Domhnall Gleeson,84,0,6,Alejandro G. IÃƒÂ±ÃƒÂ¡rritu,14,4,120,Mark L. Smith,4,0,1,Alva Noto,0,0,1,Emmanuel Lubezki,38,3,144,135000000,8,CLASS-4
Ant-Man,2015,2,3856,1.85,Paul Rudd,92,0,0,Michael Douglas,72,0,0,Evangeline Lilly,91,0,6,Peyton Reed,23,0,2,Edgar Wright,21,0,14,Christophe Beck,22,0,5,Russell Carpenter,45,1,7,130000000,7.3,CLASS-3
Home,2011,1,3708,1.85,Jim Parsons,29,0,22,Rihanna,0,0,2,Steve Martin,133,0,1,Tim Johnson,5,0,6,Tom J. Astle,17,0,1,Lorne Balfe,69,0,8,Nick Fletcher,0,0,0,135000000,8.3,CLASS-4
Fantastic Four,2015,2,3602,2.35,Miles Teller,17,0,78,Michael B. Jordan,29,0,0,Kate Mara,48,0,1,Josh Trank,5,0,1,Jeremy Slater,0,0,1,Marco Beltrami,47,0,18,Matthew Jensen,24,0,1,120000000,4.3,CLASS-1
San Andreas,2015,2,3777,2.35,Dwayne Johnson,55,0,12,Carla Gugino,0,0,2,Alexandra Daddario,63,0,6,Brad Peyton,10,0,0,Carlton Cuse,10,0,11,Andrew Lockington,34,0,12,Steve Yedlin,24,0,0,110000000,6.1,CLASS-2
Insurgent,2015,2,3715,2.35,Kate Winslet,0,1,82,Jai Courtney,12,0,3,Mekhi Phifer,51,0,5,Robert Schwentke,8,0,15,Brian Duffield,1,0,0,Joseph Trapanese,45,0,2,Florian Ballhaus,33,0,1,110000000,6.2,CLASS-2
The Martian,2015,2,3831,2.35,Matt Damon,69,1,32,Jessica Chastain,0,0,27,Kristen Wiig,61,0,0,Ridley Scott,42,0,44,Drew Goddard,9,0,17,Harry Gregson-Williams,66,0,20,Dariusz Wolski,56,0,1,108000000,8,CLASS-4
In the Heart of the Sea,2015,2,3715,1.85,Chris Hemsworth,20,0,9,Benjamin Walker,16,0,0,Cillian Murphy,3,0,6,Ron Howard,33,2,37,Charles Leavitt,7,0,0,Roque BaÃ±os,22,0,15,Anthony Dod Mantle,47,1,28,100000000,6.9,CLASS-3
The Peanuts Movie,2015,0,3897,1.85,Trombone Shorty,3,0,0,Rebecca Bloom,0,0,0,Anastasia Bredikhina,57,0,14,Steve Martino,10,0,1,Craig Schulz,1,0,0,Christophe Beck,22,0,5,Renato FalcÃ£o,17,0,4,99000000,7.1,CLASS-3
Cinderella,2015,1,3845,2.35,Cate Blanchett,0,0,8,Lily James,0,0,9,Richard Madden,23,0,4,Kenneth Branagh,16,0,33,Chris Weitz,5,0,3,Patrick Doyle,28,0,12,Haris Zambarloukos,28,0,1,95000000,6.9,CLASS-3
Alvin and the Chipmunks: The Road Chip,2015,1,3715,1.85,Jason Lee,59,0,6,Justin Long,70,0,1,Matthew Gray Gubler,61,0,9,Walt Becker,8,0,0,Ross Bagdasarian,9,0,0,Mark Mothersbaugh,31,0,21,Peter Lyons Collister,42,0,0,90000000,5,CLASS-1
Pixels,2015,2,3723,2.35,Adam Sandler,58,0,18,Kevin James,24,0,54,Michelle Monaghan,40,0,10,Chris Columbus,17,0,6,Tim Herlihy,13,0,1,Henry Jackman,17,0,11,Amir Mokri,27,0,0,88000000,5.5,CLASS-2
Fantastic Four,2015,2,3602,2.35,Miles Teller,17,0,78,Michael B. Jordan,29,0,1,Kate Mara,48,0,1,Josh Trank,5,0,1,Jeremy Slater,0,0,1,Marco Beltrami,47,0,18,Matthew Jensen,24,0,1,120000000,4.3,CLASS-1
Hotel Transylvania 2,2015,1,3754,1.85,Adam Sandler,58,0,22,Andy Samberg,67,0,54,Selena Gomez,7,0,1,Genndy Tartakovsky,22,0,7,Robert Smigel,29,0,10,Mark Mothersbaugh,31,0,21,Catherine Apple,1,0,0,80000000,6.7,CLASS-3
The Last Witch Hunter,2015,2,3715,2.35,Vin Diesel,29,0,4,Rose Leslie,0,0,1,Elijah Wood,21,0,4,Breck Eisner,8,0,0,Cory Goodman,2,0,0,Steve Jablonsky,36,0,8,Dean Semler,76,1,14,90000000,6,CLASS-2
The Little Prince,2015,1,3715,2.35,Jeff Bridges,84,1,38,Mackenzie Foy,0,0,43,Rachel McAdams,16,0,4,Mark Osborne,17,0,15,Irena Brignull,3,0,0,Richard Harvey,35,0,3,Carole Kravetz Aykanian,0,0,0,81200000,7.7,CLASS-4
The Man from U.N.C.L.E.,2015,2,3715,2.35,Henry Cavill,16,0,1,Armie Hammer,22,0,4,Alicia Vikander,91,0,1,Guy Ritchie,19,0,8,Guy Ritchie,8,0,8,Daniel Pemberton,40,0,3,John Mathieson,51,0,8,75000000,7.3,CLASS-3
Minions,2015,1,4301,1.85,Sandra Bullock,0,0,29,Jon Hamm,57,0,13,Michael Keaton,96,0,14,Kyle Balda,7,0,0,Brian Lynch,6,0,0,Heitor Pereira,87,0,6,Claire Dodgson,0,0,0,74000000,6.4,CLASS-2
The SpongeBob Movie: Sponge Out of Water,2015,1,3641,1.85,Antonio Banderas,89,0,6,Eric Bauza,118,0,6,Tim Conway,81,0,1,Paul Tibbitt,1,0,2,Jonathan Aibel,12,0,2,John Debney,98,0,32,Phil Meheux,53,0,3,74000000,6,CLASS-2
Blackhat,2015,4,3715,2.35,Chris Hemsworth,20,0,9,Leehom Wang,14,0,0,Wei Tang,104,0,24,Michael Mann,19,0,18,Morgan Davis Foehl,0,0,0,Harry Gregson-Williams,66,0,20,Stuart Dryburgh,43,0,10,70000000,5.4,CLASS-2
Ted 2,2020,4,3442,2.35,Mark Wahlberg,54,0,18,Seth MacFarlane,49,1,53,Amanda Seyfried,55,0,2,Seth MacFarlane,14,0,24,Seth MacFarlane,21,0,24,Walter Murphy,18,0,8,Michael Barrett,38,0,1,68000000,8.7,CLASS-4
Everest,2015,2,3715,2.35,Jason Clarke,54,0,1,Ang Phula Sherpa,0,0,0,Thomas M. Wright,86,0,0,Baltasar KormÃƒÂ¡kur,11,0,34,William Nicholson,19,0,2,Dario Marianelli,22,1,14,Salvatore Totino,29,0,0,55000000,7.1,CLASS-3
The Hobbit: The Battle of the Five Armies,2014,2,3875,2.35,Ian McKellen,99,0,4,Martin Freeman,62,0,0,Richard Armitage,65,0,10,Peter Jackson,21,3,136,Fran Walsh,14,3,44,Howard Shore,74,3,87,Andrew Lesnie,48,1,27,250000000,7.4,CLASS-3
Transformers: Age of Extinction,2014,2,4233,2.35,Mark Wahlberg,52,0,7,Stanley Tucci,100,0,3,Kelsey Grammer,78,0,29,Michael Bay,53,0,9,Ehren Kruger,14,0,1,Steve Jablonsky,34,0,8,Amir Mokri,24,0,0,210000000,5.6,CLASS-2
The Amazing Spider-Man 2,2012,2,4324,2.35,Andrew Garfield,19,0,58,Emma Stone,0,0,13,Jamie Foxx,12,0,7,Marc Webb,52,0,7,Alex Kurtzman,15,0,3,Michael Einziger,4,0,0,Dan Mindel,19,0,0,200000000,6.9,CLASS-3
